muni_code;region;muni_name;uf_code;uf_acr;tipo_regiao;bioma;altitude;koppen;pop22;prop_residuo;prop_esgot
1300680;1;Boa Vista Do Ramos;13;AM;n„o metropolitana;amazonia;27,15;Af;24018;46,23;31,99
1300706;1;Boca Do Acre;13;AM;n„o metropolitana;amazonia;170,74;Am;35964;49,61;6,33
1300805;1;Borba;13;AM;n„o metropolitana;amazonia;60,79;Af;33209;50,28;8,62
1300839;1;Caapiranga;13;AM;n„o metropolitana;amazonia;47,75;Af;13851;41,7;33,01
1300904;1;Canutama;13;AM;n„o metropolitana;amazonia;83,37;Am;17362;35,23;10,42
1301001;1;Carauari;13;AM;n„o metropolitana;amazonia;108,75;Af;29176;72,31;25,71
1301100;1;Careiro;13;AM;metropolitana;amazonia;34,96;Af;30819;38,9;15,04
1301159;1;Careiro Da V√°rzea;13;AM;metropolitana;amazonia;22,84;Af;19615;12,49;5,62
1301209;1;Coari;13;AM;n„o metropolitana;amazonia;67,58;Af;71130;60,33;41,08
1301308;1;Codaj√°s;13;AM;n„o metropolitana;amazonia;48,4;Af;24071;61,24;26,09
1301407;1;Eirunep√©;13;AM;n„o metropolitana;amazonia;176,14;Af;33173;33,47;13,27
1301506;1;Envira;13;AM;n„o metropolitana;amazonia;183,76;Af;17034;62,83;7,65
1301605;1;Fonte Boa;13;AM;n„o metropolitana;amazonia;60,73;Af;27692;49,85;2,25
1301654;1;Guajar√°;13;AM;n„o metropolitana;amazonia;211,38;Af;13809;44,79;8,22
1301704;1;Humait√°;13;AM;n„o metropolitana;amazonia;71,92;Am;59504;67,84;16,26
1301803;1;Ipixuna;13;AM;n„o metropolitana;amazonia;191,5;Af;24387;34,27;1,51
1301852;1;Iranduba;13;AM;metropolitana;amazonia;45,99;Af;59767;78,41;14,38
1301902;1;Itacoatiara;13;AM;metropolitana;amazonia;35,97;Af;103826;72,49;20,77
1301951;1;Itamarati;13;AM;n„o metropolitana;amazonia;138,89;Af;10783;34,65;5,8
1302009;1;Itapiranga;13;AM;metropolitana;amazonia;80,5;Af;10183;69,3;6,63
1302108;1;Japur√°;13;AM;n„o metropolitana;amazonia;107,63;Af;9281;30,43;16,6
1302207;1;Juru√°;13;AM;n„o metropolitana;amazonia;78,1;Af;10501;41,61;14,1
1302306;1;Juta√≠;13;AM;n„o metropolitana;amazonia;123,74;Af;25048;11,98;0,98
1302405;1;L√°brea;13;AM;n„o metropolitana;amazonia;122,89;Am;47003;53;19,96
1302504;1;Manacapuru;13;AM;metropolitana;amazonia;33,69;Af;102736;70,56;24,62
1302553;1;Manaquiri;13;AM;metropolitana;amazonia;35,23;Af;17333;30,57;7,92
1302603;1;Manaus;13;AM;metropolitana;amazonia;66,97;Af;2054731;98;63,33
1302702;1;Manicor√©;13;AM;n„o metropolitana;amazonia;71,65;Am;59225;46,26;8,34
1302801;1;Mara√£;13;AM;n„o metropolitana;amazonia;51,36;Af;15706;42,39;22,6
1302900;1;Mau√©s;13;AM;n„o metropolitana;amazonia;101,45;Af;61167;49,57;29,19
1303007;1;Nhamund√°;13;AM;n„o metropolitana;amazonia;104,95;Af;20249;34,25;17,6
