muni_code;dengue_pattern_10_19;dengue_pattern_20_22;Transition;temp_med;umid_med;precip_tot;thr_temp;thr_umid;thr_prec;thr_temp_umid;muni_name;uf_code;uf_acr;tipo_regiao;bioma;altitude;koppen;pop22;prop_esgot;prop_abast;prop_residuo
1100700;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;25,3;78,8;683,9;361,7;325;2,7;322,3;Campo Novo De Rondônia;11;RO;nao metropolitana;amazonia;248,65;Am;8840;19,87;91,75;27,08
1100809;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;26,5;80,7;700,2;365,3;354;5,3;353;Candeias Do Jamari;11;RO;nao metropolitana;amazonia;103,22;Am;22564;9,02;95,9;55,51
1100908;Episódico;Episódico/Epidêmico;Piorou;26;76,3;609,8;363,7;321;6;319,7;Castanheiras;11;RO;nao metropolitana;amazonia;201,43;Am;3269;1,44;95,21;25,63
1100924;Episódico;Epidêmico;Piorou;25,2;76,5;570,1;359;320,3;5,7;316;Chupinguaia;11;RO;nao metropolitana;amazonia;329,97;Am;9351;2,69;85,16;58,97
1100940;Episódico/Epidêmico;Epidêmico;Piorou;26,2;79;706,8;365,3;332,7;4,7;332;Cujubim;11;RO;nao metropolitana;amazonia;128,98;Am;14338;7,37;94,27;60,25
1101005;Episódico/Epidêmico;Episódico;Melhorou;25,7;78;607,7;363,7;325;6;323,3;Governador Jorge Teixeira;11;RO;nao metropolitana;amazonia;279,41;Am;8012;30,96;95,18;27,44
1101104;Episódico/Epidêmico;Episódico;Melhorou;26,5;79,2;674,4;365,3;334,3;4,3;333,7;Itapuã Do Oeste;11;RO;nao metropolitana;amazonia;115,7;Am;9465;3,2;94,44;56,18
1101203;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;25,8;76,7;639,1;363;319,7;6,3;317,7;Ministro Andreazza;11;RO;nao metropolitana;amazonia;304,56;Am;6440;4,55;92,13;38,29
1101302;Episódico;Episódico;Se manteve;25,5;78,2;644,7;362;325,3;6;323,3;Mirante Da Serra;11;RO;nao metropolitana;amazonia;271,69;Am;9200;1,34;96,64;48,62
1101401;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;25,9;78,4;605,6;364;328,3;5,3;327;Monte Negro;11;RO;nao metropolitana;amazonia;201,29;Am;11966;1,3;98,33;46,67
1101435;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;25,8;76,7;610,2;363,3;317,3;6,3;316;Nova União;11;RO;nao metropolitana;amazonia;276,91;Am;6194;1,1;90,86;23,38
1101450;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;25,1;76,5;620,1;358,7;315,7;6,7;311;Parecis;11;RO;nao metropolitana;amazonia;329,49;Am;3953;0,65;87,25;38,44
1101468;Episódico/Epidêmico;Episódico;Melhorou;25,5;75,3;500,5;357,7;311,7;3,3;307;Pimenteiras Do Oeste;11;RO;nao metropolitana;amazonia;186,31;Am;2180;18,71;97,57;50,43
1101476;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;25,7;76,1;611,2;361,7;318,7;6,3;316,3;Primavera De Rondônia;11;RO;nao metropolitana;amazonia;233,73;Am;3071;1,94;96,29;44,11
1101484;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;25,5;75,9;557,2;361;314,3;5,7;312;São Felipe D'oeste;11;RO;nao metropolitana;amazonia;251,28;Am;5259;16,02;92,1;33,15
1101492;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;25,9;78,7;565,8;360,3;342,7;4,7;339;São Francisco Do Guaporé;11;RO;nao metropolitana;amazonia;173,21;Am;16302;3,85;96,28;47,04
1101500;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;25,9;78,1;582,9;361;335,7;5;332,7;Seringueiras;11;RO;nao metropolitana;amazonia;211,42;Am;11183;19,63;97,53;39,47
1101559;Episódico;Episódico/Epidêmico;Piorou;26;76,7;600,7;364;319;5,7;317,7;Teixeirópolis;11;RO;nao metropolitana;amazonia;219,42;Am;4284;2,04;95,05;34,51
1101609;Episódico;Episódico/Epidêmico;Piorou;26,1;77,9;640;365;326,7;6,7;326;Theobroma;11;RO;nao metropolitana;amazonia;178,32;Am;9253;11,02;96,15;24,29
1101708;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;26;76,3;592;363,7;318,7;6,7;317,3;Urupá;11;RO;nao metropolitana;amazonia;223,46;Am;10828;11,53;93,24;39,05
1101757;Episódico;Episódico/Epidêmico;Piorou;26,1;78,1;679,9;365;325;6,7;324;Vale Do Anari;11;RO;nao metropolitana;amazonia;159,34;Am;7806;0,68;94,15;33,64
1101807;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;26,1;77,9;640;365;326,7;6,7;326;Vale Do Paraíso;11;RO;nao metropolitana;amazonia;182,73;Am;6487;0,29;96,71;33,59
1200013;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;25,9;81,3;633,3;361,7;357;5,7;353;Acrelândia;12;AC;nao metropolitana;amazonia;165,47;Am;12707;11,7;93,87;48,83
1200054;Episódico/Epidêmico;Epidêmico;Piorou;25,5;80;611,4;358,7;353,7;6,3;347,7;Assis Brasil;12;AC;nao metropolitana;amazonia;305,21;Af;8157;24,82;81,68;61,4
1200104;Epidêmico;Epidêmico;Se manteve;25,6;81,3;618,3;359;355,3;4;349,7;Brasiléia;12;AC;nao metropolitana;amazonia;273,61;Af;25786;29,63;91,66;67,91
1200138;Episódico;Episódico/Epidêmico;Piorou;25,7;82,2;642,4;361;360,7;6;356,3;Bujari;12;AC;nao metropolitana;amazonia;189,97;Am;11962;19,35;81,89;47
1200179;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;25,7;81,5;627;360;357;6,7;351,7;Capixaba;12;AC;nao metropolitana;amazonia;197,4;Am;9737;34;86,57;44,24
1200203;Epidêmico;Epidêmico;Se manteve;26;83,2;731,3;364,3;363,3;6,3;361,7;Cruzeiro Do Sul;12;AC;nao metropolitana;amazonia;226,06;Af;94345;13,9;79,14;68,32
1200252;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;25,7;80,2;617,6;358,7;351,7;4,3;345,7;Epitaciolândia;12;AC;nao metropolitana;amazonia;243,8;Am;18697;21,2;89,66;68,59
1200302;Episódico/Epidêmico;Epidêmico;Piorou;25,5;83,9;673,1;363;361,7;5;359;Feijó;12;AC;nao metropolitana;amazonia;251,14;Af;35035;10,3;69,53;51,27
1200328;Episódico;Episódico;Se manteve;25,2;82,4;694,8;362;359,7;6,3;356;Jordão;12;AC;nao metropolitana;amazonia;330,41;Af;11105;5,29;46,28;38,3
1200336;Episódico/Epidêmico;Epidêmico;Piorou;25,9;82,5;751,5;364;361;7;359;Mâncio Lima;12;AC;nao metropolitana;amazonia;257,6;Af;19172;6,75;80,26;50,9
1200344;Episódico;Episódico/Epidêmico;Piorou;25,5;84;636,2;363;361,7;4;359;Manoel Urbano;12;AC;nao metropolitana;amazonia;233,58;Af;12246;12,92;80,41;52,96
1200351;Episódico;Epidêmico;Piorou;25,6;83;749,6;363,3;363,7;7;361,3;Marechal Thaumaturgo;12;AC;nao metropolitana;amazonia;282,43;Af;16825;8,36;50,77;32,58
1200385;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;25,9;80,8;620;361,3;353;7;348,7;Plácido De Castro;12;AC;nao metropolitana;amazonia;179,76;Am;16313;14,63;91,46;55,38
1200393;Episódico;Episódico/Epidêmico;Piorou;25,9;83,1;778;363,7;361,7;6,7;359,3;Porto Walter;12;AC;nao metropolitana;amazonia;244,35;Af;10706;0,71;44,36;20,57
1200401;Epidêmico;Epidêmico;Se manteve;25,8;81,4;615,1;360,7;357,7;7,7;352,7;Rio Branco;12;AC;metropolitana;amazonia;209,03;Am;364368;57,97;94,1;92,98
1200427;Episódico/Epidêmico;Epidêmico;Piorou;26;83,2;731,3;364,3;363,3;6,3;361,7;Rodrigues Alves;12;AC;nao metropolitana;amazonia;250,56;Af;16072;9,23;71,48;38,52
1200435;Episódico;Sem transmissão;Melhorou;25,5;82,8;658,7;362,7;360,7;5,7;357,7;Santa Rosa Do Purus;12;AC;nao metropolitana;amazonia;251,66;Af;7672;4,78;66,29;47,19
1200450;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;25,8;81,4;615,1;360,7;357,7;7,7;352,7;Senador Guiomard;12;AC;nao metropolitana;amazonia;177,03;Am;21658;24,13;92,4;64,22
1200500;Episódico/Epidêmico;Epidêmico;Piorou;25,7;83,2;627,2;363;361;3,7;358,3;Sena Madureira;12;AC;nao metropolitana;amazonia;231,54;Am;39746;13,29;82,57;63,33
1200609;Episódico;Epidêmico;Piorou;25,6;83,5;659,5;362,7;362;4,3;359;Tarauacá;12;AC;nao metropolitana;amazonia;252,67;Af;43072;10,93;60,4;49,22
1200708;Epidêmico;Episódico/Epidêmico;Melhorou;25,6;82;627,6;359,7;357;5;351,7;Xapuri;12;AC;nao metropolitana;amazonia;227,59;Am;18181;29,33;86,75;64,17
1200807;Episódico;Episódico/Epidêmico;Piorou;25,8;82;621,4;363;359;4;356;Porto Acre;12;AC;nao metropolitana;amazonia;172,78;Am;16218;11,96;84,46;51,12
1300029;Episódico;Episódico/Epidêmico;Piorou;26,7;85,2;844,1;366,3;366;6;366;Alvarães;13;AM;nao metropolitana;amazonia;78,54;Af;15916;31,36;48,93;49,29
1300060;Episódico;Episódico;Se manteve;26;87,3;989,4;366,3;366,3;10,3;366,3;Amaturá;13;AM;nao metropolitana;amazonia;83,74;Af;10814;7,69;66,64;42,25
1300086;Episódico;Sem transmissão;Melhorou;26,5;85,4;858,8;366,3;365,7;6;365,7;Anamã;13;AM;nao metropolitana;amazonia;40,78;Af;9927;4,62;58,47;41,91
1300102;Episódico;Episódico/Epidêmico;Piorou;26,5;85,4;858,8;366,3;365,7;6;365,7;Anori;13;AM;nao metropolitana;amazonia;35,18;Af;17052;2,16;66,86;51,63
1300144;Episódico;Episódico;Se manteve;26,1;82,1;791,1;366,3;348,7;8,3;348,7;Apuí;13;AM;nao metropolitana;amazonia;154,7;Am;21403;9,53;86,82;53,56
1300201;Episódico;Episódico/Epidêmico;Piorou;25,7;87,8;928,1;365,3;366,3;10,7;365,3;Atalaia Do Norte;13;AM;nao metropolitana;amazonia;157,3;Af;15440;0,97;36,29;26,65
1300300;Episódico;Episódico;Se manteve;27,1;81,6;835,8;366,3;362;11,3;362;Autazes;13;AM;metropolitana;amazonia;30,93;Af;41672;20,38;57,01;46,8
1300409;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;26,7;85,1;833,6;366,3;366,3;6,3;366,3;Barcelos;13;AM;nao metropolitana;amazonia;91,99;Af;18399;15,48;50,28;50,22
1300508;Episódico;Sem transmissão;Melhorou;27;84,9;915,3;366,3;366,3;12,3;366,3;Barreirinha;13;AM;nao metropolitana;amazonia;35,36;Af;30990;4,15;55,14;30,08
1300607;Episódico;Epidêmico;Piorou;25,6;87,6;922,8;365,3;366,3;11;365,3;Benjamin Constant;13;AM;nao metropolitana;amazonia;139,73;Af;37436;14,6;53,48;53,4
1300631;Episódico;Episódico/Epidêmico;Piorou;26,5;83,2;850,7;366,3;361,7;9,3;361,7;Beruri;13;AM;nao metropolitana;amazonia;47,19;Af;20807;27,69;54,61;39,61
1300680;Episódico;Episódico;Se manteve;26,6;86;878,4;366,3;366,3;10,3;366,3;Boa Vista Do Ramos;13;AM;nao metropolitana;amazonia;27,15;Af;24018;31,99;58,8;46,23
1300706;Episódico/Epidêmico;Episódico;Melhorou;25,9;83;647,2;364;360,7;5;358,3;Boca Do Acre;13;AM;nao metropolitana;amazonia;170,74;Am;35964;6,33;69,39;49,61
1300805;Epidêmico;Episódico/Epidêmico;Melhorou;26,7;83,1;844,1;366,3;362;9;362;Borba;13;AM;nao metropolitana;amazonia;60,79;Af;33209;8,62;54,66;50,28
1300839;Episódico;Episódico;Se manteve;26,5;84,9;912,2;366,3;365,7;7,3;365,7;Caapiranga;13;AM;nao metropolitana;amazonia;47,75;Af;13851;33,01;29,69;41,7
1300904;Episódico;Sem transmissão;Melhorou;26,5;82,5;785,1;365;361,7;7,3;360,3;Canutama;13;AM;nao metropolitana;amazonia;83,37;Am;17362;10,42;73,78;35,23
1301001;Episódico;Episódico/Epidêmico;Piorou;26,1;85,4;856,7;366;363,7;7,3;363,3;Carauari;13;AM;nao metropolitana;amazonia;108,75;Af;29176;25,71;64,62;72,31
1301100;Episódico/Epidêmico;Episódico;Melhorou;26,5;84,6;962;366,3;364;11;364;Careiro;13;AM;metropolitana;amazonia;34,96;Af;30819;15,04;57,11;38,9
1301159;Episódico;Episódico;Se manteve;27,2;81;837,2;366,3;363;10,7;363;Careiro Da Várzea;13;AM;metropolitana;amazonia;22,84;Af;19615;5,62;14,95;12,49
1301209;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;27;84;832,8;366;366;6,3;365,7;Coari;13;AM;nao metropolitana;amazonia;67,58;Af;71130;41,08;32,3;60,33
1301308;Episódico;Episódico/Epidêmico;Piorou;26,7;84,5;844,5;366;365,7;7,7;365,3;Codajás;13;AM;nao metropolitana;amazonia;48,4;Af;24071;26,09;63,71;61,24
1301407;Episódico;Episódico/Epidêmico;Piorou;25,7;85,9;808,3;364;365,7;7,3;363,3;Eirunepé;13;AM;nao metropolitana;amazonia;176,14;Af;33173;13,27;52,28;33,47
1301506;Episódico;Epidêmico;Piorou;25,6;84,8;731,1;363,7;364,7;6,3;362,3;Envira;13;AM;nao metropolitana;amazonia;183,76;Af;17034;7,65;44,82;62,83
1301605;Episódico;Episódico;Se manteve;26,4;86,5;967,9;366,3;366,3;7,7;366,3;Fonte Boa;13;AM;nao metropolitana;amazonia;60,73;Af;27692;2,25;67,65;49,85
1301654;Epidêmico;Epidêmico;Se manteve;26;83,2;731,3;364,3;363,3;6,3;361,7;Guajará;13;AM;nao metropolitana;amazonia;211,38;Af;13809;8,22;62,11;44,79
1301704;Epidêmico;Epidêmico;Se manteve;26,6;82,2;751,6;365,7;361;9;360,3;Humaitá;13;AM;nao metropolitana;amazonia;71,92;Am;59504;16,26;78,16;67,84
1301803;Episódico;Epidêmico;Piorou;25,8;83,8;742,9;365;364,3;6,3;363;Ipixuna;13;AM;nao metropolitana;amazonia;191,5;Af;24387;1,51;41,52;34,27
1301852;Episódico;Epidêmico;Piorou;26,8;84,6;971,3;366,3;366;9,3;366;Iranduba;13;AM;metropolitana;amazonia;45,99;Af;59767;14,38;70,95;78,41
1301902;Epidêmico;Episódico/Epidêmico;Melhorou;27,5;80,6;865,4;366,3;364,7;12,3;364,7;Itacoatiara;13;AM;metropolitana;amazonia;35,97;Af;103826;20,77;78,88;72,49
1301951;Episódico;Sem transmissão;Melhorou;25,9;84,3;766,5;365,3;365,3;6,7;364,3;Itamarati;13;AM;nao metropolitana;amazonia;138,89;Af;10783;5,8;52,1;34,65
1302009;Episódico;Sem transmissão;Melhorou;27,2;83;871,1;366,3;366,3;10;366,3;Itapiranga;13;AM;metropolitana;amazonia;80,5;Af;10183;6,63;82,83;69,3
1302108;Episódico;Episódico/Epidêmico;Piorou;26,2;86,9;1066,4;366,3;366;13,3;366;Japurá;13;AM;nao metropolitana;amazonia;107,63;Af;9281;16,6;48,07;30,43
1302207;Episódico;Episódico;Se manteve;26,2;85,8;870,3;366,3;365;7;365;Juruá;13;AM;nao metropolitana;amazonia;78,1;Af;10501;14,1;47,97;41,61
1302306;Episódico;Epidêmico;Piorou;26,3;86,7;964,6;366,3;366;8;366;Jutaí;13;AM;nao metropolitana;amazonia;123,74;Af;25048;0,98;63,73;11,98
1302405;Episódico/Epidêmico;Epidêmico;Piorou;26,4;82,8;774,7;365,3;363,7;7;362,7;Lábrea;13;AM;nao metropolitana;amazonia;122,89;Am;47003;19,96;48,21;53
1302504;Episódico/Epidêmico;Epidêmico;Piorou;26,9;84,3;938,3;366,3;366;8,3;366;Manacapuru;13;AM;metropolitana;amazonia;33,69;Af;102736;24,62;70,32;70,56
1302553;Episódico;Sem transmissão;Melhorou;26,8;84,6;971,3;366,3;366;9,3;366;Manaquiri;13;AM;metropolitana;amazonia;35,23;Af;17333;7,92;41,08;30,57
1302603;Epidêmico;Epidêmico;Se manteve;27;82,1;927,9;366,3;364;10,3;364;Manaus;13;AM;metropolitana;amazonia;66,97;Af;2054731;63,33;89,78;98
1302702;Episódico;Epidêmico;Piorou;26,5;83,9;791,2;366,3;364,3;9;364,3;Manicoré;13;AM;nao metropolitana;amazonia;71,65;Am;59225;8,34;61,75;46,26
1302801;Episódico;Episódico;Se manteve;26,5;86,2;916,7;366,3;366,3;9,3;366,3;Maraã;13;AM;nao metropolitana;amazonia;51,36;Af;15706;22,6;49,73;42,39
1302900;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;26,7;85,2;858,9;366,3;366;8;366;Maués;13;AM;nao metropolitana;amazonia;101,45;Af;61167;29,19;53,86;49,57
1303007;Episódico;Sem transmissão;Melhorou;27;83,4;959;366,3;366,3;13,7;366,3;Nhamundá;13;AM;nao metropolitana;amazonia;104,95;Af;20249;17,6;47,52;34,25
1303106;Episódico/Epidêmico;Sem transmissão;Melhorou;26,9;84,3;873,8;366,3;365;7,7;365;Nova Olinda Do Norte;13;AM;nao metropolitana;amazonia;37,73;Af;27088;15,05;55,94;49,1
1303205;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;26,8;83,5;923,4;366,3;366;10,3;366;Novo Airão;13;AM;metropolitana;amazonia;57,76;Af;15819;16,43;65,45;65,35
1303304;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve;26,8;82;897,6;366,3;358,3;10,7;358,3;Novo Aripuanã;13;AM;nao metropolitana;amazonia;87,97;Am;24251;14,95;62,63;26,68
1303403;Episódico/Epidêmico;Epidêmico;Piorou;27;83,9;926,4;366,3;366,3;12,3;366,3;Parintins;13;AM;nao metropolitana;amazonia;25,22;Af;96251;20,52;73,24;62,59
1303502;Episódico;Episódico;Se manteve;26,1;83;677,4;364,7;361,7;3,7;360;Pauini;13;AM;nao metropolitana;amazonia;161,94;Af;20351;26,47;49,56;28,96
1303536;Episódico/Epidêmico;Epidêmico;Piorou;26,1;82,5;941,2;366,3;362;9;362;Presidente Figueiredo;13;AM;metropolitana;amazonia;98,07;Af;30762;37,54;83,42;66,99
1303569;Episódico;Episódico/Epidêmico;Piorou;26,3;81,9;783,4;366,3;357;7,7;357;Rio Preto Da Eva;13;AM;metropolitana;amazonia;92,65;Af;24807;10,01;79,17;46,47
1303601;Episódico;Episódico/Epidêmico;Piorou;26,4;86,1;928,8;366,3;366,3;10;366,3;Santa Isabel Do Rio Negro;13;AM;nao metropolitana;amazonia;124,36;Af;14305;8,25;45,24;44,01
1303700;Episódico;Episódico/Epidêmico;Piorou;26,2;87;974,1;366,3;366,3;10;366,3;Santo Antônio Do Içá;13;AM;nao metropolitana;amazonia;94,86;Af;28233;3,83;50,65;38,3
1303809;Epidêmico;Episódico/Epidêmico;Melhorou;26;87,4;1143,7;366,3;366,3;13;366,3;São Gabriel Da Cachoeira;13;AM;nao metropolitana;amazonia;116,7;Af;51921;13,11;43,43;51,38
1303908;Episódico;Epidêmico;Piorou;25,9;87,7;1070,6;366,3;366,3;13,7;366,3;São Paulo De Olivença;13;AM;nao metropolitana;amazonia;126,81;Af;32727;5,05;38,51;0,15
1303957;Sem transmissão;Episódico;Piorou;27;83,6;856,3;366,3;366,3;9,3;366,3;São Sebastião Do Uatumã;13;AM;nao metropolitana;amazonia;94,09;Af;11697;1,8;68,33;57,99
1304005;Episódico;Sem transmissão;Melhorou;27,1;80,8;874,9;366,3;362;12;362;Silves;13;AM;metropolitana;amazonia;60,65;Af;11572;4,95;54,15;50,23
1304062;Epidêmico;Epidêmico;Se manteve;25,8;87,7;978,6;365,7;366,3;12,7;365,7;Tabatinga;13;AM;nao metropolitana;amazonia;97,02;Af;66837;25,75;73,55;70,74
1304104;Episódico/Epidêmico;Epidêmico;Piorou;26,7;83,7;796,2;366;365,7;7,3;365,3;Tapauá;13;AM;nao metropolitana;amazonia;85,84;Af;21914;18,74;47,22;50,33
1304203;Epidêmico;Epidêmico;Se manteve;26,6;85,4;877,3;366,3;366;6,7;366;Tefé;13;AM;nao metropolitana;amazonia;86,29;Af;74142;32,65;79,14;68,47
1304237;Episódico;Episódico/Epidêmico;Piorou;26;87,1;960,5;366,3;366,3;9,3;366,3;Tonantins;13;AM;nao metropolitana;amazonia;88,05;Af;20180;9,34;32,38;29,51
1304260;Episódico;Episódico;Se manteve;26,7;85,5;896,1;366,3;366;7;366;Uarini;13;AM;nao metropolitana;amazonia;70,76;Af;14597;12,96;60,95;46,03
1304302;Episódico;Episódico;Se manteve;27;83,6;856,3;366,3;366,3;9,3;366,3;Urucará;13;AM;nao metropolitana;amazonia;131,71;Af;18582;10,59;80,65;64,11
1304401;Episódico;Episódico;Se manteve;27,4;80,9;877,5;366,3;363,7;12,3;363,7;Urucurituba;13;AM;nao metropolitana;amazonia;13;Af;24017;22,7;64,7;52,29
1400027;Episódico/Epidêmico;Episódico;Melhorou;27,1;78,2;792,7;366,3;342,7;13;342,7;Amajari;14;RR;nao metropolitana;amazonia;396,94;Am;16994;10,72;55,89;22,96
