muni_code;muni_name;uf_code;uf_acr;tipo_regiao;bioma;altitude;koppen;pop22;prop_esgot;prop_abast;prop_residuo
1200203;Cruzeiro Do Sul;12;AC;n„o metropolitana;amazonia;226,06;Af;94345;13,9;79,14;68,32
1200252;Epitaciol√¢ndia;12;AC;n„o metropolitana;amazonia;243,8;Am;18697;21,2;89,66;68,59
1200302;Feij√≥;12;AC;n„o metropolitana;amazonia;251,14;Af;35035;10,3;69,53;51,27
1200328;Jord√£o;12;AC;n„o metropolitana;amazonia;330,41;Af;11105;5,29;46,28;38,3
1200336;M√¢ncio Lima;12;AC;n„o metropolitana;amazonia;257,6;Af;19172;6,75;80,26;50,9
1200344;Manoel Urbano;12;AC;n„o metropolitana;amazonia;233,58;Af;12246;12,92;80,41;52,96
1200351;Marechal Thaumaturgo;12;AC;n„o metropolitana;amazonia;282,43;Af;16825;8,36;50,77;32,58
1200385;Pl√°cido De Castro;12;AC;n„o metropolitana;amazonia;179,76;Am;16313;14,63;91,46;55,38
1200393;Porto Walter;12;AC;n„o metropolitana;amazonia;244,35;Af;10706;0,71;44,36;20,57
1200401;Rio Branco;12;AC;metropolitana;amazonia;209,03;Am;364368;57,97;94,1;92,98
1200427;Rodrigues Alves;12;AC;n„o metropolitana;amazonia;250,56;Af;16072;9,23;71,48;38,52
1200435;Santa Rosa Do Purus;12;AC;n„o metropolitana;amazonia;251,66;Af;7672;4,78;66,29;47,19
1200450;Senador Guiomard;12;AC;n„o metropolitana;amazonia;177,03;Am;21658;24,13;92,4;64,22
1200500;Sena Madureira;12;AC;n„o metropolitana;amazonia;231,54;Am;39746;13,29;82,57;63,33
1200609;Tarauac√°;12;AC;n„o metropolitana;amazonia;252,67;Af;43072;10,93;60,4;49,22
1200708;Xapuri;12;AC;n„o metropolitana;amazonia;227,59;Am;18181;29,33;86,75;64,17
1200807;Porto Acre;12;AC;n„o metropolitana;amazonia;172,78;Am;16218;11,96;84,46;51,12
1300029;Alvar√£es;13;AM;n„o metropolitana;amazonia;78,54;Af;15916;31,36;48,93;49,29
1300060;Amatur√°;13;AM;n„o metropolitana;amazonia;83,74;Af;10814;7,69;66,64;42,25
1300086;Anam√£;13;AM;n„o metropolitana;amazonia;40,78;Af;9927;4,62;58,47;41,91
1300102;Anori;13;AM;n„o metropolitana;amazonia;35,18;Af;17052;2,16;66,86;51,63
1300144;Apu√≠;13;AM;n„o metropolitana;amazonia;154,7;Am;21403;9,53;86,82;53,56
1300201;Atalaia Do Norte;13;AM;n„o metropolitana;amazonia;157,3;Af;15440;0,97;36,29;26,65
1300300;Autazes;13;AM;metropolitana;amazonia;30,93;Af;41672;20,38;57,01;46,8
1300409;Barcelos;13;AM;n„o metropolitana;amazonia;91,99;Af;18399;15,48;50,28;50,22
1300508;Barreirinha;13;AM;n„o metropolitana;amazonia;35,36;Af;30990;4,15;55,14;30,08
1300607;Benjamin Constant;13;AM;n„o metropolitana;amazonia;139,73;Af;37436;14,6;53,48;53,4
1300631;Beruri;13;AM;n„o metropolitana;amazonia;47,19;Af;20807;27,69;54,61;39,61
1300680;Boa Vista Do Ramos;13;AM;n„o metropolitana;amazonia;27,15;Af;24018;31,99;58,8;46,23
1300706;Boca Do Acre;13;AM;n„o metropolitana;amazonia;170,74;Am;35964;6,33;69,39;49,61
1300805;Borba;13;AM;n„o metropolitana;amazonia;60,79;Af;33209;8,62;54,66;50,28
1300839;Caapiranga;13;AM;n„o metropolitana;amazonia;47,75;Af;13851;33,01;29,69;41,7
1300904;Canutama;13;AM;n„o metropolitana;amazonia;83,37;Am;17362;10,42;73,78;35,23
1301001;Carauari;13;AM;n„o metropolitana;amazonia;108,75;Af;29176;25,71;64,62;72,31
1301100;Careiro;13;AM;metropolitana;amazonia;34,96;Af;30819;15,04;57,11;38,9
1301159;Careiro Da V√°rzea;13;AM;metropolitana;amazonia;22,84;Af;19615;5,62;14,95;12,49
1301209;Coari;13;AM;n„o metropolitana;amazonia;67,58;Af;71130;41,08;32,3;60,33
1301308;Codaj√°s;13;AM;n„o metropolitana;amazonia;48,4;Af;24071;26,09;63,71;61,24
1301407;Eirunep√©;13;AM;n„o metropolitana;amazonia;176,14;Af;33173;13,27;52,28;33,47
1301506;Envira;13;AM;n„o metropolitana;amazonia;183,76;Af;17034;7,65;44,82;62,83
1301605;Fonte Boa;13;AM;n„o metropolitana;amazonia;60,73;Af;27692;2,25;67,65;49,85
1301654;Guajar√°;13;AM;n„o metropolitana;amazonia;211,38;Af;13809;8,22;62,11;44,79
1301704;Humait√°;13;AM;n„o metropolitana;amazonia;71,92;Am;59504;16,26;78,16;67,84
1301803;Ipixuna;13;AM;n„o metropolitana;amazonia;191,5;Af;24387;1,51;41,52;34,27
1301852;Iranduba;13;AM;metropolitana;amazonia;45,99;Af;59767;14,38;70,95;78,41
1301902;Itacoatiara;13;AM;metropolitana;amazonia;35,97;Af;103826;20,77;78,88;72,49
1301951;Itamarati;13;AM;n„o metropolitana;amazonia;138,89;Af;10783;5,8;52,1;34,65
1302009;Itapiranga;13;AM;metropolitana;amazonia;80,5;Af;10183;6,63;82,83;69,3
1302108;Japur√°;13;AM;n„o metropolitana;amazonia;107,63;Af;9281;16,6;48,07;30,43
1302207;Juru√°;13;AM;n„o metropolitana;amazonia;78,1;Af;10501;14,1;47,97;41,61
1302306;Juta√≠;13;AM;n„o metropolitana;amazonia;123,74;Af;25048;0,98;63,73;11,98
1302405;L√°brea;13;AM;n„o metropolitana;amazonia;122,89;Am;47003;19,96;48,21;53
1302504;Manacapuru;13;AM;metropolitana;amazonia;33,69;Af;102736;24,62;70,32;70,56
1302553;Manaquiri;13;AM;metropolitana;amazonia;35,23;Af;17333;7,92;41,08;30,57
1302603;Manaus;13;AM;metropolitana;amazonia;66,97;Af;2054731;63,33;89,78;98
1302702;Manicor√©;13;AM;n„o metropolitana;amazonia;71,65;Am;59225;8,34;61,75;46,26
1302801;Mara√£;13;AM;n„o metropolitana;amazonia;51,36;Af;15706;22,6;49,73;42,39
1302900;Mau√©s;13;AM;n„o metropolitana;amazonia;101,45;Af;61167;29,19;53,86;49,57
1303007;Nhamund√°;13;AM;n„o metropolitana;amazonia;104,95;Af;20249;17,6;47,52;34,25
1303106;Nova Olinda Do Norte;13;AM;n„o metropolitana;amazonia;37,73;Af;27088;15,05;55,94;49,1
1303205;Novo Air√£o;13;AM;metropolitana;amazonia;57,76;Af;15819;16,43;65,45;65,35
1303304;Novo Aripuan√£;13;AM;n„o metropolitana;amazonia;87,97;Am;24251;14,95;62,63;26,68
