"";"muni_code";"dengue_pattern_10_19";"dengue_pattern_20_22";"Transition";"temp_med";"umid_med";"precip_tot";"thr_temp";"thr_umid";"thr_prec";"thr_temp_umid";"muni_name";"uf_code";"uf_acr";"tipo_regiao";"bioma";"altitude";"koppen";"pop22";"prop_esgot";"prop_abast";"prop_residuo"
"4816";4310504;"Epis贸dico";"Epis贸dico";"Se manteve";20;72,5;525,1;197,7;309,3;12,3;147,3;"Ira铆";43;"RS";"n鉶 metropolitana";"mata atlantica";318,06;"Cfa";7489;23,93;83,76;64,3
"4817";4310538;"Epis贸dico";"Epis贸dico";"Se manteve";19;75,3;443,6;169,3;330,3;10;137,3;"Itaara";43;"RS";"n鉶 metropolitana";"mata atlantica";400,41;"Cfa";5747;55,59;94,95;95,79
"4818";4310553;"Epis贸dico";"Epis贸dico";"Se manteve";20,7;69,5;412,1;208,7;279;9,3;133,3;"Itacurubi";43;"RS";"n鉶 metropolitana";"pampa";155,24;"Cfa";2995;26,51;96,06;37,08
"4819";4310579;"Epis贸dico";"Epis贸dico";"Se manteve";17,6;77,6;519,3;130,3;346;12,7;114;"Itapuca";43;"RS";"n鉶 metropolitana";"mata atlantica";668,09;"Cfb";1937;5,73;93,16;33,52
"4820";4310603;"Epis贸dico";"Epis贸dico";"Se manteve";20,6;69,9;342,4;205,7;284,7;8;133,3;"Itaqui";43;"RS";"n鉶 metropolitana";"pampa";79,86;"Cfa";35408;68,14;97,02;86,17
"4821";4310652;"Sem transmiss茫o";"Sem transmiss茫o";"Se manteve";19,3;82,1;523,6;165;361,7;10,3;164,3;"Itati";43;"RS";"n鉶 metropolitana";"mata atlantica";467,61;"Cfa";2941;3,63;76,27;90,99
"4822";4310702;"Epis贸dico";"Epis贸dico";"Se manteve";18,6;75,4;553,3;158;337,7;11;133,7;"Itatiba Do Sul";43;"RS";"n鉶 metropolitana";"mata atlantica";553;"Cfa";3206;38,17;91,79;65,98
"4823";4310751;"Sem transmiss茫o";"Sem transmiss茫o";"Se manteve";18,9;76,4;461,8;168;337;10,3;142,3;"Ivor谩";43;"RS";"n鉶 metropolitana";"mata atlantica";335,78;"Cfa";2012;73,43;83,22;92,85
"4824";4310801;"Epis贸dico";"Epis贸dico/Epid锚mico";"Piorou";18,9;79,3;517,7;164,7;358;9,3;157;"Ivoti";43;"RS";"metropolitana";"mata atlantica";141,66;"Cfa";22911;72,6;95,92;99,74
"4825";4310850;"Epis贸dico";"Epis贸dico";"Se manteve";19,3;72,7;536,9;176,3;309,3;12,7;128,3;"Jaboticaba";43;"RS";"n鉶 metropolitana";"mata atlantica";464,9;"Cfa";3754;27,33;82,12;42,74
