muni_code;muni_name;uf_code;uf_acr;tipo_regiao;bioma;altitude;koppen;pop22
2204402;Gilbu√©s;22;PI;n„o metropolitana;cerrado;467,09;Aw;10926
2204501;Guadalupe;22;PI;n„o metropolitana;cerrado;200,44;Aw;10305
2204550;Guaribas;22;PI;n„o metropolitana;caatinga;560,9;Aw;4281
2204600;Hugo Napole√£o;22;PI;n„o metropolitana;cerrado;224,86;Aw;3526
2204659;Ilha Grande;22;PI;n„o metropolitana;caatinga;4,27;As;9207
2204709;Inhuma;22;PI;n„o metropolitana;caatinga;466,21;As;14803
2204808;Ipiranga Do Piau√≠;22;PI;n„o metropolitana;caatinga;444,61;As;9275
2204907;Isa√≠as Coelho;22;PI;n„o metropolitana;caatinga;296,82;Aw;7782
2205003;Itain√≥polis;22;PI;n„o metropolitana;caatinga;278,11;BSh;10614
2205102;Itaueira;22;PI;n„o metropolitana;cerrado;314,91;Aw;9939
2205151;Jacobina Do Piau√≠;22;PI;n„o metropolitana;caatinga;335,87;BSh;5630
2205201;Jaic√≥s;22;PI;n„o metropolitana;caatinga;337,3;BSh;17408
2205250;Jardim Do Mulato;22;PI;n„o metropolitana;cerrado;248,29;Aw;4178
2205276;Jatob√° Do Piau√≠;22;PI;n„o metropolitana;cerrado;177,17;As;4495
2205300;Jerumenha;22;PI;n„o metropolitana;cerrado;215,34;Aw;4435
2205359;Jo√£o Costa;22;PI;n„o metropolitana;caatinga;403,93;BSh;2971
2205409;Joaquim Pires;22;PI;n„o metropolitana;cerrado;50,73;As;13893
2205458;Joca Marques;22;PI;n„o metropolitana;cerrado;58,39;As;5390
2205508;Jos√© De Freitas;22;PI;metropolitana;cerrado;122,15;Aw;42575
2205516;Juazeiro Do Piau√≠;22;PI;n„o metropolitana;cerrado;228,57;As;5215
2205524;J√∫lio Borges;22;PI;n„o metropolitana;caatinga;545,78;Aw;5388
2205532;Jurema;22;PI;n„o metropolitana;caatinga;549,57;Aw;4426
2205540;Lagoinha Do Piau√≠;22;PI;n„o metropolitana;cerrado;255,72;Aw;2934
2205557;Lagoa Alegre;22;PI;metropolitana;cerrado;117,87;Aw;8263
2205565;Lagoa Do Barro Do Piau√≠;22;PI;n„o metropolitana;caatinga;444,65;BSh;4997
2205573;Lagoa De S√£o Francisco;22;PI;n„o metropolitana;caatinga;354,42;As;6329
2205581;Lagoa Do Piau√≠;22;PI;metropolitana;cerrado;139,54;Aw;4805
2205599;Lagoa Do S√≠tio;22;PI;n„o metropolitana;caatinga;464,65;As;4529
2205607;Landri Sales;22;PI;n„o metropolitana;cerrado;328,46;Aw;5315
2205706;Lu√≠s Correia;22;PI;n„o metropolitana;caatinga;39,76;As;30701
