,geocodigo,temp_med,umid_med,precip_tot,year,muni_code,dengue_pattern
52692,4113304,19.11316155357143,80.36816952472527,781.7717118075,2012,4113304,Episódico/Epidêmico
52693,4113403,22.4768235260989,75.30374644505494,528.20266027139,2012,4113403,Episódico/Epidêmico
52694,4113429,21.1691722978022,77.56896085714286,669.9710037377,2012,4113429,Episódico/Epidêmico
52695,4113452,20.81217782335165,78.54079535989011,740.6665842968,2012,4113452,Episódico/Epidêmico
52696,4113502,23.334766994505497,72.65106238186813,571.1000041412,2012,4113502,Epidêmico
52697,4113601,22.488620200274728,73.68767824175825,645.1992395625,2012,4113601,Episódico/Epidêmico
52698,4113700,21.12976335,77.64109999175824,672.38746634783,2012,4113700,Epidêmico
52699,4113734,19.98927596456044,79.49603807967033,829.63227943604,2012,4113734,Episódico/Epidêmico
52700,4113759,21.1691722978022,77.56896085714286,669.9710037377,2012,4113759,Episódico/Epidêmico
52701,4113809,22.867564046703297,73.44338642032967,526.2517189056,2012,4113809,Epidêmico
52702,4113908,17.705894798076923,82.60809357692308,583.46547198304,2012,4113908,Episódico
52703,4114005,20.470213832692306,77.87215422527473,762.3802531466,2012,4114005,Episódico/Epidêmico
52704,4114104,22.270563886263737,74.34453054945055,673.0754028538,2012,4114104,Episódico/Epidêmico
52705,4114203,21.811589800824176,76.40275173626374,641.9123323307,2012,4114203,Episódico/Epidêmico
52706,4114302,17.421641170054944,83.51480810714285,656.03803682924,2012,4114302,Episódico
52707,4114351,18.627009506593406,79.65655510714285,770.9665930478,2012,4114351,Episódico
52708,4114401,18.23904120934066,81.03399221703297,796.90852035655,2012,4114401,Episódico
52709,4114500,19.107954174725275,80.71297963736264,765.9040940311,2012,4114500,Episódico
52710,4114609,22.133230816758243,74.7524004532967,600.64990991153,2012,4114609,Episódico/Epidêmico
52711,4114708,22.52900914807692,72.94302699175825,638.33799192,2012,4114708,Episódico/Epidêmico
52712,4114807,21.22420655631868,77.39845127197802,661.8349140162001,2012,4114807,Epidêmico
52713,4114906,19.876714076373627,80.4914191043956,715.65934048294,2012,4114906,Episódico/Epidêmico
52714,4115002,23.076888499175826,73.33913037637363,603.66055671847,2012,4115002,Epidêmico
52715,4115101,22.150204842032966,74.2577869010989,698.142126915,2012,4115101,Episódico/Epidêmico
52716,4115200,21.889790847802196,75.33242153021978,646.3068712822,2012,4115200,Epidêmico
52717,4115309,18.469501045879124,79.62717966208791,764.68028134885,2012,4115309,Episódico
52718,4115358,21.021684151373627,76.40861694505494,718.1599689863,2012,4115358,Episódico/Epidêmico
52719,4115408,18.550592442307693,79.80856184065934,793.57198888005,2012,4115408,Episódico/Epidêmico
52720,4115457,19.29288341346154,79.76572184615385,678.05542506855,2012,4115457,Episódico
52721,4115507,21.22420655631868,77.39845127197802,661.8349140162001,2012,4115507,Episódico/Epidêmico
52722,4115606,20.934040202472527,76.6224297445055,678.6049476113,2012,4115606,Episódico/Epidêmico
52723,4115705,20.730885208791207,83.05364953021979,667.25970526407,2012,4115705,Episódico/Epidêmico
52724,4115739,19.369756887087913,80.20016487912088,772.11535464682,2012,4115739,Episódico
52725,4115754,19.876714076373627,80.4914191043956,715.65934048294,2012,4115754,Episódico/Epidêmico
52726,4115804,21.526134775274727,77.17382245054945,671.3744680668,2012,4115804,Epidêmico
52727,4115853,22.315534031593405,74.89317710164835,638.694161394,2012,4115853,Episódico/Epidêmico
52728,4115903,22.820943409340657,72.80516157967033,620.7108127307,2012,4115903,Episódico/Epidêmico
52729,4116000,22.606791739285715,75.11601658241759,555.869091654,2012,4116000,Episódico/Epidêmico
52730,4116059,22.15754356043956,76.4641031510989,596.3071447219,2012,4116059,Episódico/Epidêmico
52731,4116109,21.919565221978022,74.56535928296704,694.1372570271,2012,4116109,Episódico/Epidêmico
52732,4116208,20.838954895604395,83.17243796703296,650.50594369376,2012,4116208,Episódico/Epidêmico
52733,4116307,21.358062514835165,76.71688911538462,647.07853336,2012,4116307,Episódico/Epidêmico
52734,4116406,21.965673373626373,75.11258832142858,603.88104099774,2012,4116406,Episódico/Epidêmico
52735,4116505,22.486304126648353,73.98373887087912,666.835086073,2012,4116505,Episódico/Epidêmico
52736,4116604,21.64087372802198,76.18597503296704,503.649455954,2012,4116604,Episódico/Epidêmico
52737,4116703,20.746196333791207,77.69089435714285,760.5250683905,2012,4116703,Episódico/Epidêmico
