"municipio_geocodigo","epiyear","Xp","Tp","Dc3","Dc6","Dcmax","Dcmed","Dci","Ds3","Ds6","Dsmax","Dsmed","P","Inc"
"314020","2013/2014",3,9,0,0,0,0,3,4,3,21,12.5,0,168.225447981133
"314030","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314040","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314050","2013/2014",7,43,0,0,2,1.5,5,2,0,4,1.5,0.0576923076923077,570.54036755966
"314053","2013/2014",1,6,0,0,0,0,0,2,2,32,25,0,26.3736486674968
"314055","2013/2014",2,19,0,0,0,0,3,2,2,31,1,0,119.49984717808
"314060","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314070","2013/2014",65,21,1,1,15,1,1,3,0,5,3,0.326923076923077,2019.78507623371
"314080","2013/2014",1,46,0,0,0,0,3,5,4,19,6,0,36.0843735926227
"314085","2013/2014",1,40,0,0,0,0,6,4,2,19,4,0,60.7969663872669
"314090","2013/2014",2,38,0,0,0,0,2,3,2,34,5.5,0,38.4697697890768
"314100","2013/2014",1,3,0,0,0,0,0,2,2,35,25,0,15.7637379460456
"314110","2013/2014",10,15,0,0,2,2,8,2,1,6,1,0.0961538461538462,237.448790031878
"314120","2013/2014",6,17,1,0,3,3,4,4,2,11,4,0.0576923076923077,1287.40510566271
"314130","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314140","2013/2014",1,44,0,0,0,0,1,2,1,47,25.5,0,4.71312478360413
"314150","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314160","2013/2014",1,49,0,0,0,0,1,2,2,42,25.5,0,9.46074654387103
"314170","2013/2014",3,17,0,0,0,0,4,5,3,16,3,0,205.345566312797
"314180","2013/2014",22,5,1,1,6,3.5,2,3,3,14,10.5,0.134615384615385,326.010185859112
"314190","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314200","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314210","2013/2014",3,38,0,0,0,0,1,3,3,20,20,0,99.4885903806013
"314220","2013/2014",3,38,0,0,0,0,8,4,2,13,2,0,107.313187346124
"314225","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314230","2013/2014",1,41,0,0,0,0,2,3,3,19,14,0,82.1476881152437
"314240","2013/2014",3,22,0,0,0,0,4,4,3,21,6,0,123.271758914155
"314250","2013/2014",1,47,0,0,0,0,3,4,3,22,7,0,210.56553042267
"314260","2013/2014",1,8,0,0,0,0,2,4,4,20,10,0,47.8838999594829
"314270","2013/2014",42,15,2,1,17,1,0,1,0,3,2,0.480769230769231,2704.89479458134
"314280","2013/2014",2,1,0,0,0,0,7,6,3,15,4,0,49.8127233190601
"314290","2013/2014",1,52,0,0,0,0,4,4,4,22,7,0,18.341577490299
"314300","2013/2014",1,19,0,0,0,0,0,2,2,31,25,0,15.0871354607161
"314310","2013/2014",69,18,1,1,20,1,3,3,0,5,2.5,0.423076923076923,1116.14837748711
"314315","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314320","2013/2014",4,24,0,0,0,0,7,5,1,6,2,0,135.439227708998
"314330","2013/2014",23,2,2,1,11,2,1,0,0,2,1,0.461538461538462,74.7654985081722
"314340","2013/2014",5,20,0,0,1,1,4,4,3,15,3,0.0192307692307692,111.898320578359
"314345","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314350","2013/2014",65,3,1,1,19,10.5,2,2,2,8,2,0.403846153846154,6692.2344341201
"314360","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314370","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314380","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314390","2013/2014",9,5,1,0,3,1,2,0,0,2,1.5,0.153846153846154,105.641583777885
"314400","2013/2014",5,52,0,0,1,1,5,3,3,8,1.5,0.0384615384615385,167.176220999696
"314410","2013/2014",1,8,0,0,0,0,2,4,3,20,7,0,28.3527849795669
"314420","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314430","2013/2014",2,11,0,0,0,0,6,5,3,11,5,0,27.3806113200159
"314435","2013/2014",1,10,0,0,0,0,1,2,2,29,25.5,0,15.6293440935356
"314437","2013/2014",13,19,2,1,11,2,0,1,1,6,1.5,0.423076923076923,6031.66340375932
"314440","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314450","2013/2014",3,18,0,0,0,0,1,2,2,29,18,0,73.7917488053187
"314460","2013/2014",10,19,0,0,1,1,6,4,2,12,1,0.0769230769230769,179.184140297369
"314465","2013/2014",3,23,0,0,0,0,3,5,3,15,7,0,107.923815597444
"314467","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314470","2013/2014",2,2,0,0,0,0,6,4,3,9,2,0,117.540054572168
"314480","2013/2014",14,11,4,1,9,3.5,2,0,0,1,1,0.365384615384615,251.590934805257
"314490","2013/2014",2,2,0,0,0,0,0,2,2,36,25,0,104.670414001681
"314500","2013/2014",7,14,0,0,1,1,4,3,1,16,2,0.0192307692307692,348.218585525847
"314505","2013/2014",1,41,0,0,0,0,2,2,2,26,23,0,27.3235887957522
"314510","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314520","2013/2014",59,16,2,1,19,2,2,1,0,4,1.5,0.461538461538462,851.378092012694
"314530","2013/2014",7,49,0,0,1,1,3,2,1,9,2,0.0384615384615385,215.964577278601
"314535","2013/2014",1,4,0,0,0,0,2,4,3,18,13.5,0,38.2048145413402
"314537","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314540","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314545","2013/2014",1,11,0,0,0,0,1,2,2,28,25.5,0,18.4630897980777
"314550","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314560","2013/2014",15,19,1,0,4,2,2,1,0,3,1,0.153846153846154,358.553839189079
"314570","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314580","2013/2014",4,20,0,0,0,0,2,3,3,17,11,0,717.781402936379
"314585","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314587","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314590","2013/2014",6,21,0,0,1,1,8,4,1,6,2,0.0384615384615385,94.7738472089362
"314600","2013/2014",2,17,0,0,0,0,1,3,2,29,5,0,36.9600260141722
"314610","2013/2014",3,12,0,0,0,0,5,3,2,14,2,0,42.3164641496596
"314620","2013/2014",1,50,0,0,0,0,3,3,3,22,12.5,0,49.6761497162728
"314625","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314630","2013/2014",2,8,0,0,0,0,8,6,3,10,3.5,0,63.9584434113835
"314640","2013/2014",21,13,1,1,7,4,4,4,3,12,3,0.153846153846154,2582.30138773449
"314650","2013/2014",48,13,1,1,7,1,2,2,2,7,2,0.230769230769231,2478.19896256525
"314655","2013/2014",2,43,0,0,0,0,2,3,1,43,4,0,50.5381011928288
"314660","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314670","2013/2014",4,36,0,0,0,0,1,2,1,44,23.5,0,235.011961506246
"314675","2013/2014",1,8,0,0,0,0,2,3,3,20,19,0,29.2442882249561
"314690","2013/2014",2,30,0,0,0,0,6,5,3,14,3,0,76.379300675396
"314700","2013/2014",396,8,3,1,28,3,0,0,0,1,1,0.730769230769231,4986.61790330095
"314710","2013/2014",16,13,1,1,10,2,6,3,0,4,1,0.25,157.299848975411
"314720","2013/2014",14,17,1,0,5,3.5,2,3,3,12,5,0.134615384615385,382.541574958608
"314730","2013/2014",2,23,0,0,0,0,1,3,2,29,3,0,44.8605440970521
"314740","2013/2014",5,13,0,0,1,1,1,3,0,5,2,0.0192307692307692,303.671488644191
"314750","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314760","2013/2014",2,5,0,0,0,0,4,6,4,11,7.5,0,75.810958571255
"314770","2013/2014",5,49,0,0,1,1,3,3,3,14,2,0.0192307692307692,261.650180113214
"314780","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314790","2013/2014",383,16,1,1,25,1,0,0,0,2,1,0.557692307692308,4356.12715356123
"314795","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314800","2013/2014",186,18,3,2,30,7,0,0,0,1,1,0.788461538461538,1354.61313064215
"314810","2013/2014",9,17,0,0,2,1,4,3,1,7,1,0.0769230769230769,83.3564229585942
"314820","2013/2014",1,16,0,0,0,0,1,2,2,28,19,0,55.2902294012883
"314830","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314840","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314850","2013/2014",4,25,0,0,0,0,4,4,3,22,7,0,92.8963334978373
"314860","2013/2014",6,4,0,0,1,1,1,3,3,23,14,0.0192307692307692,79.0612561834482
"314870","2013/2014",4,17,0,0,0,0,3,5,3,19,5,0,61.0160581749002
"314875","2013/2014",1,44,0,0,0,0,1,2,1,47,25.5,0,14.3557181309959
"314880","2013/2014",1,2,0,0,0,0,1,2,2,37,25.5,0,28.8766965059197
"314890","2013/2014",8,20,0,0,2,2,3,3,3,13,4.5,0.0961538461538462,1297.98438002525
"314900","2013/2014",1,3,0,0,0,0,3,2,2,30,8.5,0,125.977130305575
"314910","2013/2014",1,41,0,0,0,0,2,3,3,26,10,0,43.6406727713254
"314915","2013/2014",1,1,0,0,0,0,1,2,2,38,25.5,0,9.15986429308747
"314920","2013/2014",1,3,0,0,0,0,3,4,3,19,13.5,0,85.3475725180817
"314930","2013/2014",5,2,0,0,2,1,8,4,1,7,1,0.0961538461538462,98.2781479483019
"314940","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"314950","2013/2014",2,2,0,0,0,0,1,3,3,26,10,0,182.648936450464
"314960","2013/2014",9,22,0,0,2,1.5,3,3,2,15,2,0.0576923076923077,986.842866565606
"314970","2013/2014",10,20,1,0,3,1,2,2,0,5,2,0.115384615384615,991.210961488389
"314980","2013/2014",1,48,0,0,0,0,3,4,4,21,10,0,19.6218270185011
"314990","2013/2014",154,17,1,1,15,15,0,2,2,18,15,0.288461538461538,3839.69068746066
"314995","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"315000","2013/2014",6,49,0,0,1,1,3,1,1,14,2,0.0576923076923077,1687.3529650361
"315010","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"315015","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"315020","2013/2014",1,17,0,0,0,0,1,2,2,29,25.5,0,24.4410289673195
"315030","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"315040","2013/2014",2,1,0,0,0,0,1,2,2,38,25.5,0,41.435335974836
"315050","2013/2014",16,24,1,1,7,1,3,4,0,5,3,0.173076923076923,1294.8309758883
"315053","2013/2014",1,43,0,0,0,0,3,4,3,34,6,0,65.4051028558132
"315057","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"315060","2013/2014",1,45,0,0,0,0,1,2,1,46,25.5,0,15.2283669333583
"315070","2013/2014",4,39,0,0,0,0,5,5,2,6,5,0,543.185994777058
"315080","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"315090","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"315100","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"315110","2013/2014",2,12,0,0,0,0,4,4,3,18,6,0,74.8769749702112
"315120","2013/2014",5,22,0,0,1,1,5,3,1,6,1.5,0.0192307692307692,84.9956284981579
"315130","2013/2014",1,3,0,0,0,0,4,3,3,22,7,0,35.4654067353582
"315140","2013/2014",5,16,0,0,1,1,7,6,1,6,3,0.0192307692307692,163.535347514442
"315150","2013/2014",37,17,1,1,13,7.5,3,4,1,7,4,0.288461538461538,1070.53064179513
"315160","2013/2014",5,20,0,0,1,1,4,5,2,20,4,0.0192307692307692,212.521911879815
"315170","2013/2014",2,4,0,0,0,0,1,3,3,20,15,0,24.3831245332918
"315180","2013/2014",11,17,1,0,5,3,2,4,1,16,3,0.115384615384615,46.1652158055878
"315190","2013/2014",3,2,0,0,0,0,0,2,2,36,25,0,44.8206312813529
"315200","2013/2014",7,2,0,0,1,1,3,2,1,11,2,0.0961538461538462,250.577065921361
"315210","2013/2014",8,17,0,0,1,1,3,4,1,9,1.5,0.0384615384615385,98.5829840082122
"315213","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"315217","2013/2014",2,12,0,0,0,0,3,2,2,24,12,0,34.5616568326568
"315220","2013/2014",4,24,0,0,0,0,4,4,2,17,5,0,38.9722030761559
"315230","2013/2014",1,17,0,0,0,0,1,2,2,29,25.5,0,9.3945145068467
"315240","2013/2014",1,43,0,0,0,0,2,3,2,26,21,0,13.0065195179084
"315250","2013/2014",13,19,1,0,3,1,2,1,0,3,1,0.134615384615385,78.0976417557281
"315260","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"315270","2013/2014",4,24,0,0,0,0,2,2,2,31,7,0,102.91798887694
"315280","2013/2014",11,19,0,0,1,1,3,2,1,11,1,0.173076923076923,454.065451163649
"315290","2013/2014",1,48,0,0,0,0,2,4,3,31,7,0,45.2227000560935
"315300","2013/2014",1,44,0,0,0,0,1,3,2,24,21,0,89.538617833682
"315310","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"315320","2013/2014",6,13,0,0,1,1,3,3,2,20,5,0.0192307692307692,859.85298317875
"315330","2013/2014",1,7,0,0,0,0,2,3,3,19,18,0,64.7771262001676
"315340","2013/2014",7,21,0,0,2,1,4,4,2,15,3,0.0769230769230769,331.031304991893
"315350","2013/2014",1,41,0,0,0,0,2,2,2,26,23,0,23.6436716803376
"315360","2013/2014",2,9,0,0,0,0,0,2,2,30,23.5,0,58.9868999926266
"315370","2013/2014",2,24,0,0,0,0,0,2,2,35,24.5,0,120.310145673607
"315380","2013/2014",1,21,0,0,0,0,1,2,2,33,25.5,0,54.0010073264828
"315390","2013/2014",1,10,0,0,0,0,1,2,2,29,25.5,0,6.29633329398125
"315400","2013/2014",1,42,0,0,0,0,1,1,1,49,25.5,0,4.14166402502839
"315410","2013/2014",10,50,0,0,1,1,4,5,1,14,3,0.0192307692307692,383.01304795388
"315415","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"315420","2013/2014",2,20,0,0,0,0,1,2,2,29,19,0,35.5952275014204
"315430","2013/2014",3,19,0,0,0,0,5,7,1,7,4,0,143.740674132705
"315440","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"315445","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"315450","2013/2014",1,49,0,0,0,0,1,2,2,42,25.5,0,10.6856926794785
"315460","2013/2014",40,14,3,1,23,1,1,0,0,2,2,0.692307692307692,239.140031577115
"315470","2013/2014",5,13,0,0,1,1,3,3,2,25,3,0.0192307692307692,254.614271619567
"315480","2013/2014",2,12,0,0,0,0,7,3,2,16,2,0,156.99693050873
"315490","2013/2014",15,11,2,0,4,3,1,4,2,16,3,0.173076923076923,611.219959229223
"315500","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
"315510","2013/2014",0,40,0,0,0,0,0,1,1,52,52,0,0
