muni_code_6;munname;prop_esgot;prop_abast;prop_residuo
150200;CACHOEIRA DO ARARI;39,01;76,66;32,6
150210;CAMETA;11,43;62,33;44,61
150215;CANAA DOS CARAJAS;36,85;94,89;84,2
150220;CAPANEMA;65,76;90,45;82,88
150230;CAPITAO POCO;3,31;86,79;49,22
150240;CASTANHAL;36,39;92,91;90,27
150250;CHAVES;2;27,88;13,65
150260;COLARES;2,01;88,59;32,04
150270;CONCEICAO DO ARAGUAIA;4,77;93,66;66,66
150275;CONCORDIA DO PARA;6,81;82,49;56,71
150276;CUMARU DO NORTE;1,66;80,99;26,67
150277;CURIONOPOLIS;4,51;69,93;46,46
150280;CURRALINHO;1,52;33,84;31,25
150285;CURUA;1,18;78,43;18,09
150290;CURUCA;23,11;92,5;51,89
150293;DOM ELISEU;7,15;83,71;71,34
150295;ELDORADO DOS CARAJAS;7,63;91,16;32,12
150300;FARO;2,11;76,32;38,01
150304;FLORESTA DO ARAGUAIA;1,22;68,61;27,91
150307;GARRAFAO DO NORTE;1,12;80,5;29,82
150309;GOIANESIA DO PARA;8,68;85,42;61,92
150310;GURUPA;5,47;39,19;35,87
150320;IGARAPE-ACU;1,71;85,97;65,59
150330;IGARAPE-MIRI;3,55;47,69;45,42
150340;INHANGAPI;21,1;77,37;34,08
150345;IPIXUNA DO PARA;26,76;76,56;46,24
150350;IRITUIA;3,09;82,58;29,69
150360;ITAITUBA;20,9;85,42;76,45
150370;ITUPIRANGA;9,05;83,72;47,21
150375;JACAREACANGA;2,62;68,44;35,13
150380;JACUNDA;15,85;91,29;80,21
150390;JURUTI;3,21;68,2;51,32
150400;LIMOEIRO DO AJURU;6,45;24,73;25,17
150405;MAE DO RIO;42,39;90,17;83,69
150410;MAGALHAES BARATA;50,7;93,51;37,51
150420;MARABA;32,98;91,19;78,53
150430;MARACANA;43,68;80,26;29,98
150440;MARAPANIM;2,6;88,6;57,38
150442;MARITUBA;19,13;89,79;89,35
150445;MEDICILANDIA;19,89;76,29;30,94
150450;MELGACO;4,05;21,93;24,06
150460;MOCAJUBA;32,04;76,1;64,16
150470;MOJU;6,07;81,69;35,9
150480;MONTE ALEGRE;17,97;79,98;37,36
150490;MUANA;2,65;51,5;42,72
150495;NOVA ESPERANCA DO PIRIA;4,47;81,75;51,58
150497;NOVA IPIXUNA;2,56;87,59;46,86
150500;NOVA TIMBOTEUA;11,98;90,57;63,03
150503;NOVO PROGRESSO;1,43;92,51;76,6
150506;NOVO REPARTIMENTO;15,76;78,96;48,21
150510;OBIDOS;1,92;63,34;44,5
150520;OEIRAS DO PARA;4,46;67,95;40,44
150530;ORIXIMINA;37,76;54,63;57,93
150540;OUREM;12,99;87,5;61,61
150543;OURILANDIA DO NORTE;33,78;93,28;75,31
