,geocode,season,temp_med,umid_med,precip_tot,thr_temp,thr_umid,thr_prec,thr_temp_umid,year,dengue_pattern
93,2702306,Spring,25.696504444444443,75.02598111111112,536.4487,90,90,10,90,2010,Episódico/Epidêmico
94,2702306,Summer,26.55851666666667,75.68455333333334,832.0578,90,90,23,90,2010,Episódico/Epidêmico
95,2702306,Winter,23.326821739130434,80.25289565217392,1586.4438,92,92,47,92,2010,Episódico/Epidêmico
96,2702355,Autumn,24.319919565217393,81.18337173913044,1410.4795,92,91,41,91,2010,Episódico/Epidêmico
97,2702355,Spring,25.460852222222226,70.00741444444445,375.752,90,89,9,89,2010,Episódico/Epidêmico
98,2702355,Summer,26.506074444444444,69.20564666666667,486.2788,90,88,14,88,2010,Episódico/Epidêmico
99,2702355,Winter,21.904895652173913,81.50451086956522,988.1698,92,92,31,92,2010,Episódico/Epidêmico
100,2702405,Autumn,25.009918478260868,74.48639565217391,929.9673,92,86,13,86,2010,Episódico/Epidêmico
101,2702405,Spring,26.520466666666668,63.15104,510.7434,90,57,10,57,2010,Episódico/Epidêmico
102,2702405,Summer,27.314403333333335,63.98508555555555,606.3973,90,57,19,57,2010,Episódico/Epidêmico
103,2702405,Winter,22.79818043478261,72.42109782608695,438.437,92,91,11,91,2010,Episódico/Epidêmico
104,2702504,Autumn,24.347867391304348,79.21139021739131,1479.0542,92,89,33,89,2010,Episódico/Epidêmico
105,2702504,Spring,25.654496666666667,67.2533111111111,371.9975,90,76,7,76,2010,Episódico/Epidêmico
106,2702504,Summer,26.667669999999998,66.45357444444446,387.0433,90,75,11,75,2010,Episódico/Epidêmico
107,2702504,Winter,21.864116304347828,80.14556630434782,873.9712000000001,92,92,25,92,2010,Episódico/Epidêmico
108,2702553,Autumn,23.942109782608696,81.21741304347826,1268.0467,92,91,34,91,2010,Episódico
109,2702553,Spring,25.000908888888887,70.31852,440.733,90,88,10,88,2010,Episódico
110,2702553,Summer,26.01440888888889,69.61734777777778,438.3773,90,87,11,87,2010,Episódico
111,2702553,Winter,21.555640217391304,81.81523152173914,1040.0557,92,92,34,92,2010,Episódico
112,2702603,Autumn,24.399453260869564,82.82461739130436,1760.2641,92,92,49,92,2010,Episódico/Epidêmico
113,2702603,Spring,25.33709666666667,72.74173666666667,433.1057,90,90,10,90,2010,Episódico/Epidêmico
114,2702603,Summer,26.314062222222223,72.51323111111111,609.3272,90,90,18,90,2010,Episódico/Epidêmico
115,2702603,Winter,22.23475108695652,81.70296630434783,1147.4479000000001,92,92,37,92,2010,Episódico/Epidêmico
116,2702702,Autumn,25.422579347826087,83.64706304347827,2491.0684,92,92,67,92,2010,Episódico
117,2702702,Spring,25.758002222222224,76.62559222222222,557.4312,90,90,11,90,2010,Episódico
118,2702702,Summer,26.56918222222222,77.74997333333333,903.2345,90,90,30,90,2010,Episódico
119,2702702,Winter,23.71112717391304,79.63020543478261,1320.7224,92,92,41,92,2010,Episódico
120,2702801,Autumn,24.272820652173912,85.20451847826087,2748.1496,92,92,63,92,2010,Episódico/Epidêmico
121,2702801,Spring,24.683107777777778,77.42327777777778,639.4937,90,90,24,90,2010,Episódico/Epidêmico
122,2702801,Summer,25.51768666666667,78.23754333333333,848.7436,90,90,28,90,2010,Episódico/Epidêmico
123,2702801,Winter,22.38376956521739,83.03784130434782,2635.455,92,92,62,92,2010,Episódico/Epidêmico
124,2702900,Autumn,24.458199999999998,81.18768260869565,1453.1004,92,92,42,92,2010,Epidêmico
125,2702900,Spring,25.6232,69.94098555555556,332.5743,90,90,7,90,2010,Epidêmico
126,2702900,Summer,26.598053333333333,69.75595777777777,528.0305,90,88,16,88,2010,Epidêmico
127,2702900,Winter,22.132429347826086,80.80320217391304,914.7709,92,92,28,92,2010,Epidêmico
128,2703007,Autumn,22.864734782608696,86.67763152173913,2139.6962,92,92,58,92,2010,Episódico
129,2703007,Spring,23.253933333333332,78.87000333333333,793.0948999999999,89,90,28,89,2010,Episódico
