,geocode,dengue_pattern,temp_med_Autumn,umid_med_Autumn,precip_tot_Autumn,thr_temp_Autumn,thr_umid_Autumn,thr_prec_Autumn,thr_temp_umid_Autumn,temp_med_Spring,umid_med_Spring,precip_tot_Spring,thr_temp_Spring,thr_umid_Spring,thr_prec_Spring,thr_temp_umid_Spring,temp_med_Summer,umid_med_Summer,precip_tot_Summer,thr_temp_Summer,thr_umid_Summer,thr_prec_Summer,thr_temp_umid_Summer,temp_med_Winter,umid_med_Winter,precip_tot_Winter,thr_temp_Winter,thr_umid_Winter,thr_prec_Winter,thr_temp_umid_Winter
5468,4121406,Episódico/Epidêmico,19.20384891304348,79.89517919254659,2058.751642857143,39.285714285714285,91.28571428571429,29.714285714285715,38.714285714285715,22.452220895456524,75.0941700310547,2117.6297999999997,76.28571428571429,85.14285714285714,36.857142857142854,72.42857142857143,24.69277335600907,78.56332721088435,1725.8826999999999,90.14285714285714,86.14285714285714,39.0,86.0,18.082050155279504,73.9796947204969,1620.2039857142859,31.571428571428573,82.28571428571429,25.0,23.714285714285715
5469,4121505,Episódico,16.37842841614907,83.246550310559,1483.1832857142856,11.142857142857142,92.0,28.571428571428573,11.142857142857142,19.02254960976614,79.49283421490811,1599.3703142857144,35.57142857142857,89.14285714285714,39.285714285714285,34.714285714285715,21.28916388801675,83.30918874062446,1547.6841714285713,73.28571428571429,90.14285714285714,45.57142857142857,73.14285714285714,14.936227950310558,79.4569153726708,1370.9384000000002,4.571428571428571,88.85714285714286,22.571428571428573,2.7142857142857144
5470,4121604,Episódico,16.921168167701865,81.91854860248448,2129.587142857143,18.285714285714285,91.85714285714286,31.714285714285715,18.285714285714285,20.066130348367928,77.5893605761208,2257.881457142857,52.142857142857146,88.71428571428571,42.42857142857143,50.714285714285715,22.33245469038898,81.4553578301064,1919.4475,85.71428571428571,88.42857142857143,47.0,83.85714285714286,15.766003881987578,76.87211599378882,1847.2598142857144,10.285714285714286,87.0,28.285714285714285,6.857142857142857
5471,4121703,Episódico,17.301323291925463,83.64135248447204,1588.677214285714,18.142857142857142,92.0,28.285714285714285,18.142857142857142,20.11338307447061,79.11432511617474,1748.6298285714288,52.285714285714285,88.57142857142857,38.142857142857146,50.57142857142857,21.89882262166405,84.20771773765918,1868.1640714285716,82.0,89.71428571428571,49.57142857142857,81.42857142857143,15.998343788819872,78.00190822981367,1259.4085714285713,7.285714285714286,87.57142857142857,21.428571428571427,4.0
5472,4121752,Sem transmissão,16.124553105590063,83.52853183229816,2113.942971428571,8.571428571428571,91.85714285714286,32.42857142857143,8.571428571428571,19.01195110432651,79.48485265066311,2231.3624428571425,36.0,89.42857142857143,42.42857142857143,35.285714285714285,21.092142335600904,83.61995163963022,1982.0105285714287,72.42857142857143,90.28571428571429,46.857142857142854,72.42857142857143,14.904675155279502,78.60331894409937,1748.6854857142857,5.285714285714286,88.57142857142857,26.285714285714285,3.142857142857143
5473,4121802,Episódico/Epidêmico,20.025623757763974,78.92773183229814,1155.6257,47.714285714285715,90.42857142857143,23.285714285714285,46.285714285714285,22.4790985004569,74.02164693034665,1703.6706285714286,75.14285714285714,82.71428571428571,33.57142857142857,68.0,24.101438470259897,80.43865965811965,2324.6649714285713,89.28571428571429,87.71428571428571,51.285714285714285,86.71428571428571,18.904065217391302,71.01650683229812,721.3191428571429,32.285714285714285,77.14285714285714,13.857142857142858,19.0
5474,4121901,Episódico/Epidêmico,19.626448291925467,78.07584658385092,1242.7063571428573,44.142857142857146,89.57142857142857,24.0,42.714285714285715,22.225355995396033,73.82831404461285,1820.9227857142855,74.71428571428571,81.28571428571429,36.0,66.42857142857143,23.77048572475144,80.5559061747776,2258.5017285714284,88.85714285714286,87.0,49.142857142857146,85.57142857142857,18.48122546583851,70.74234301242237,823.1223,28.142857142857142,75.57142857142857,15.428571428571429,14.857142857142858
5475,4122008,Episódico,15.973303260869566,84.5379354037267,1589.2469142857142,8.0,92.0,31.142857142857142,8.0,18.639076145944227,80.91190436668818,1767.2662714285714,30.142857142857142,89.42857142857143,42.714285714285715,29.428571428571427,20.910890078492937,84.7312370661085,1807.6965714285714,67.14285714285714,90.14285714285714,53.0,67.0,14.57220450310559,80.49018307453416,1445.6647142857146,3.857142857142857,89.57142857142857,22.714285714285715,2.4285714285714284
5476,4122107,Episódico,19.283061801242237,80.19616708074534,1611.978285714286,40.0,90.0,29.428571428571427,38.57142857142857,22.115060314592032,75.18932044890501,1928.5931,74.42857142857143,80.57142857142857,36.285714285714285,65.42857142857143,23.40735593755451,82.92444735740449,2358.256185714286,89.0,88.0,53.57142857142857,86.71428571428571,18.476802639751554,70.67283090062112,1005.0685714285715,30.857142857142858,72.71428571428571,18.285714285714285,15.571428571428571
5477,4122156,Episódico/Epidêmico,18.003602639751556,82.48149347826087,2276.8491999999997,27.428571428571427,91.85714285714286,31.428571428571427,27.428571428571427,21.064593368580145,77.95487210269197,2367.9613142857147,63.57142857142857,88.28571428571429,43.0,61.857142857142854,23.12224824524682,81.95734496075353,1984.6906571428574,89.0,90.14285714285714,48.142857142857146,88.85714285714286,16.968271118012424,75.98228462732918,1738.0583428571429,17.857142857142858,85.42857142857143,24.857142857142858,12.428571428571429
5478,4122172,Episódico,18.323890372670807,82.4187698757764,1610.4283857142857,31.142857142857142,91.85714285714286,28.142857142857142,31.142857142857142,21.269088561702144,77.92104257845956,1745.5522857142855,66.42857142857143,88.0,35.285714285714285,64.42857142857143,23.093549886621314,82.32225078667365,1635.1786714285715,88.14285714285714,88.28571428571429,45.0,86.14285714285714,16.86858229813664,77.52362189440994,1192.2189999999998,12.714285714285714,88.14285714285714,20.0,9.714285714285714
5479,4122206,Episódico,16.97067034161491,84.8290051242236,1262.6152,15.571428571428571,92.0,25.428571428571427,15.571428571428571,19.14059004671995,81.32304977645764,1470.3422000000003,37.714285714285715,89.57142857142857,36.285714285714285,36.714285714285715,21.592151623931624,84.90803879469738,1801.8305428571427,73.85714285714286,90.14285714285714,51.142857142857146,73.71428571428571,15.381561180124226,81.43986180124224,1137.140157142857,5.714285714285714,90.28571428571429,18.857142857142858,4.571428571428571
