"";"municipio_geocodigo";"xpm";"tpm";"dc3m";"dcmaxm";"dcim";"ds3m";"dsmaxm";"stm";"incm"
"237";4316428;0;1;0;0;0;1;52;0;0
"238";4316733;0;1;0;0;0;1;52;0;0
"239";4316758;0;1;0;0;0;1;52;0;0
"240";4316956;0;1;0;0;0;1;52;0;0
"241";4316972;0;1;0;0;0;1;52;0;0
"242";4317004;0;1;0;0;0;1;52;0;0
"243";4317251;0;1;0;0;0;1;52;0;0
"244";4317558;0;1;0;0;0;1;52;0;0
"245";4317954;0;1;0;0;0;1;52;0;0
"246";4318051;0;1;0;0;0;1;52;0;0
"247";4318200;0;1;0;0;0;1;52;0;0
"248";4318432;0;1;0;0;0;1;52;0;0
"249";4318440;0;1;0;0;0;1;52;0;0
"250";4318457;0;1;0;0;0;1;52;0;0
"251";4318465;0;1;0;0;0;1;52;0;0
"252";4318507;0;1;0;0;0;1;52;0;0
"253";4318614;0;1;0;0;0;1;52;0;0
"254";4319125;0;1;0;0;0;1;52;0;0
"255";4319364;0;1;0;0;0;1;52;0;0
"256";4319372;0;1;0;0;0;1;52;0;0
"257";4319406;0;1;0;0;0;1;52;0;0
"258";4319703;0;1;0;0;0;1;52;0;0
"259";4319711;0;1;0;0;0;1;52;0;0
"260";4319737;0;1;0;0;0;1;52;0;0
"261";4319752;0;1;0;0;0;1;52;0;0
"262";4319802;0;1;0;0;0;1;52;0;0
"263";4320230;0;1;0;0;0;1;52;0;0
"264";4320354;0;1;0;0;0;1;52;0;0
"265";4320453;0;1;0;0;0;1;52;0;0
"266";4320552;0;1;0;0;0;1;52;0;0
"267";4320651;0;1;0;0;0;1;52;0;0
"268";4320859;0;1;0;0;0;1;52;0;0
"269";4321105;0;1;0;0;0;1;52;0;0
"270";4321352;0;1;0;0;0;1;52;0;0
"271";4321626;0;1;0;0;0;1;52;0;0
"272";4321634;0;1;0;0;0;1;52;0;0
"273";4321956;0;1;0;0;0;1;52;0;0
"274";4322251;0;1;0;0;0;1;52;0;0
"275";4322327;0;1;0;0;0;1;52;0;0
"276";4322376;0;1;0;0;0;1;52;0;0
"277";4322525;0;1;0;0;0;1;52;0;0
"278";4322533;0;1;0;0;0;1;52;0;0
"279";4322558;0;1;0;0;0;1;52;0;0
"280";4322855;0;1;0;0;0;1;52;0;0
"281";4322905;0;1;0;0;0;1;52;0;0
"282";4323408;0;1;0;0;0;1;52;0;0
"283";4323457;0;1;0;0;0;1;52;0;0
"284";4323770;0;1;0;0;0;1;52;0;0
"285";5203939;0;1;0;0;0;1;52;0;0
"286";5203962;0;1;0;0;0;1;52;0;0
