,geocode,season,temp_med,umid_med,precip_tot,thr_temp,thr_umid,thr_prec,thr_temp_umid,year,dengue_pattern
108,2702553,Autumn,24.147114130434783,78.7713195652174,678.4639,92,92,22,92,2017,Episódico
109,2702553,Spring,25.468583333333335,67.43587444444444,176.9363,90,78,0,78,2017,Episódico
110,2702553,Summer,26.523653333333332,68.09421,352.3539,90,80,10,80,2017,Episódico
111,2702553,Winter,22.702584782608696,74.87293913043479,413.2773,92,92,8,92,2017,Episódico
112,2702603,Autumn,24.651197826086953,80.3346554347826,845.5268,92,92,29,92,2017,Episódico/Epidêmico
113,2702603,Spring,25.584946666666667,71.39383444444444,272.7748,90,90,1,90,2017,Episódico/Epidêmico
114,2702603,Summer,26.66143111111111,71.96860444444444,534.6627,90,90,18,90,2017,Episódico/Epidêmico
115,2702603,Winter,23.237478260869565,75.92843586956522,499.4807,92,92,12,92,2017,Episódico/Epidêmico
116,2702702,Autumn,25.512271739130433,82.39221847826087,1315.7619,92,92,53,92,2017,Episódico
117,2702702,Spring,25.814329999999998,76.69375888888888,448.2538,90,90,12,90,2017,Episódico
118,2702702,Summer,26.80178666666667,77.51516222222222,740.0048,90,90,31,90,2017,Episódico
119,2702702,Winter,24.29600543478261,76.77563586956522,610.7673,92,92,18,92,2017,Episódico
120,2702801,Autumn,24.1586847826087,84.96283804347827,1600.1141,92,92,61,92,2017,Episódico/Epidêmico
121,2702801,Spring,24.561613333333334,78.9710811111111,682.138,90,90,31,90,2017,Episódico/Epidêmico
122,2702801,Summer,25.580741111111113,79.63195333333333,980.9074,90,90,39,90,2017,Episódico/Epidêmico
123,2702801,Winter,22.72880760869565,80.96408152173913,1039.3694,92,92,42,92,2017,Episódico/Epidêmico
124,2702900,Autumn,24.77408913043478,78.0984097826087,701.9053,92,92,23,92,2017,Episódico/Epidêmico
125,2702900,Spring,25.93373777777778,68.13949000000001,200.8794,90,87,1,87,2017,Episódico/Epidêmico
126,2702900,Summer,27.00497111111111,68.86355222222222,414.2651,90,89,12,89,2017,Episódico/Epidêmico
127,2702900,Winter,23.37602608695652,73.56979565217391,356.0144,92,92,5,92,2017,Episódico/Epidêmico
128,2703007,Autumn,22.728502173913043,86.66409239130435,1464.0523,92,92,65,92,2017,Episódico/Epidêmico
129,2703007,Spring,23.190838888888887,80.10060333333332,744.5896,90,90,36,90,2017,Episódico/Epidêmico
130,2703007,Summer,24.29891,80.25846777777778,913.6185,90,90,38,90,2017,Episódico/Epidêmico
131,2703007,Winter,21.116397826086956,83.78635434782609,1055.8724,91,92,46,91,2017,Episódico/Epidêmico
132,2703106,Autumn,24.311983695652174,79.9039347826087,783.4792,92,92,28,92,2017,Episódico
133,2703106,Spring,25.382136666666668,70.20355222222223,237.3803,90,88,0,88,2017,Episódico
134,2703106,Summer,26.519882222222222,70.34266555555556,424.3783,90,89,13,89,2017,Episódico
135,2703106,Winter,22.831584782608694,76.13893695652173,504.2452,92,92,11,92,2017,Episódico
136,2703205,Autumn,25.12677282608696,80.99077173913044,1047.4906,92,92,39,92,2017,Episódico/Epidêmico
137,2703205,Spring,25.928932222222222,73.20580555555556,336.3983,90,90,4,90,2017,Episódico/Epidêmico
138,2703205,Summer,27.01814,73.61832111111111,680.6427,90,90,22,90,2017,Episódico/Epidêmico
139,2703205,Winter,23.833092391304348,75.96438260869566,497.2407,92,92,12,92,2017,Episódico/Epidêmico
140,2703304,Autumn,25.01863152173913,72.64408260869565,536.2032,92,89,15,89,2017,Episódico/Epidêmico
141,2703304,Spring,26.751753333333333,59.88824,109.6442,90,45,0,45,2017,Episódico/Epidêmico
142,2703304,Summer,27.783986666666664,61.000724444444444,340.9758,90,44,11,44,2017,Episódico/Epidêmico
143,2703304,Winter,23.636896739130435,68.09652282608695,233.142,92,87,2,87,2017,Episódico/Epidêmico
144,2703403,Autumn,25.55271630434783,73.93975869565217,555.4582,92,92,16,92,2017,Episódico/Epidêmico
145,2703403,Spring,26.970599999999997,63.04320555555556,147.3022,90,60,1,60,2017,Episódico/Epidêmico
146,2703403,Summer,28.053263333333334,63.73059333333333,312.2717,90,64,8,64,2017,Episódico/Epidêmico
147,2703403,Winter,24.196229347826087,69.40250869565217,261.7946,92,92,0,92,2017,Episódico/Epidêmico
148,2703502,Autumn,24.604153260869566,84.24264673913044,1493.8547,92,92,63,92,2017,Episódico
149,2703502,Spring,25.041774444444446,77.76179555555555,704.8727,90,90,30,90,2017,Episódico
150,2703502,Summer,25.95278888888889,79.14483111111112,1089.9519,90,90,41,90,2017,Episódico
151,2703502,Winter,23.311736956521738,79.3326847826087,860.0928,92,92,35,92,2017,Episódico
152,2703601,Autumn,25.426854347826087,82.42741304347827,1910.5659,92,92,67,92,2017,Episódico/Epidêmico
153,2703601,Spring,25.569814444444447,77.50513222222223,753.3436,90,90,35,90,2017,Episódico/Epidêmico
154,2703601,Summer,26.37138888888889,79.33469777777778,1259.1837,90,90,40,90,2017,Episódico/Epidêmico
155,2703601,Winter,24.313806521739128,76.51655434782609,1032.4621,92,92,42,92,2017,Episódico/Epidêmico
156,2703700,Autumn,25.127976086956522,76.29364891304348,627.9284,92,92,21,92,2017,Episódico
