CD_UF;municipio_geocodigo;class_cluster_2010_2019;class_cluster_2020_2022;transition
13;1304005;Episódico;Sem transmissão;Melhorou
13;1304062;Epidêmico;Epidêmico;Se manteve
13;1304104;Episódico/Epidêmico;Epidêmico;Piorou
13;1304203;Epidêmico;Epidêmico;Se manteve
13;1304237;Episódico;Episódico/Epidêmico;Piorou
13;1304260;Episódico;Episódico;Se manteve
13;1304302;Episódico;Episódico;Se manteve
13;1304401;Episódico;Episódico;Se manteve
14;1400027;Episódico/Epidêmico;Episódico;Melhorou
14;1400050;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
14;1400100;Epidêmico;Epidêmico;Se manteve
14;1400159;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
14;1400175;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
14;1400209;Epidêmico;Episódico/Epidêmico;Melhorou
14;1400233;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
14;1400282;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
14;1400308;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
14;1400407;Episódico/Epidêmico;Episódico;Melhorou
14;1400456;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
14;1400472;Epidêmico;Epidêmico;Se manteve
14;1400506;Episódico/Epidêmico;Epidêmico;Piorou
14;1400605;Episódico/Epidêmico;Episódico;Melhorou
14;1400704;Episódico;Episódico;Se manteve
15;1500107;Epidêmico;Episódico/Epidêmico;Melhorou
15;1500131;Episódico/Epidêmico;Episódico;Melhorou
15;1500206;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1500305;Episódico;Episódico;Se manteve
15;1500347;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1500404;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1500503;Episódico;Sem transmissão;Melhorou
15;1500602;Epidêmico;Epidêmico;Se manteve
15;1500701;Episódico;Episódico;Se manteve
15;1500800;Epidêmico;Episódico/Epidêmico;Melhorou
15;1500859;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1500909;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1500958;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1501006;Episódico;Sem transmissão;Melhorou
15;1501105;Episódico;Episódico;Se manteve
15;1501204;Episódico/Epidêmico;Episódico;Melhorou
15;1501253;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1501303;Epidêmico;Episódico/Epidêmico;Melhorou
15;1501402;Epidêmico;Epidêmico;Se manteve
15;1501451;Episódico/Epidêmico;Episódico;Melhorou
15;1501501;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1501576;Episódico;Episódico;Se manteve
15;1501600;Episódico;Sem transmissão;Melhorou
15;1501709;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1501725;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1501758;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1501782;Episódico/Epidêmico;Episódico;Melhorou
15;1501808;Episódico/Epidêmico;Episódico;Melhorou
15;1501907;Episódico;Episódico;Se manteve
15;1501956;Episódico;Episódico;Se manteve
15;1502004;Sem transmissão;Sem transmissão;Se manteve
15;1502103;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1502152;Episódico/Epidêmico;Epidêmico;Piorou
15;1502202;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1502301;Episódico/Epidêmico;Episódico;Melhorou
15;1502400;Epidêmico;Epidêmico;Se manteve
15;1502509;Episódico;Sem transmissão;Melhorou
15;1502608;Episódico;Episódico;Se manteve
15;1502707;Epidêmico;Epidêmico;Se manteve
15;1502756;Episódico;Episódico;Se manteve
15;1502764;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1502772;Episódico/Epidêmico;Episódico;Melhorou
15;1502806;Episódico;Episódico;Se manteve
15;1502855;Episódico;Episódico;Se manteve
15;1502905;Episódico/Epidêmico;Episódico;Melhorou
15;1502939;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1502954;Episódico;Episódico;Se manteve
15;1503002;Episódico;Sem transmissão;Melhorou
15;1503044;Episódico;Episódico/Epidêmico;Piorou
15;1503077;Episódico;Episódico;Se manteve
15;1503093;Episódico/Epidêmico;Episódico;Melhorou
15;1503101;Episódico;Sem transmissão;Melhorou
15;1503200;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1503309;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1503408;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1503457;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1503507;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1503606;Epidêmico;Epidêmico;Se manteve
15;1503705;Episódico/Epidêmico;Episódico;Melhorou
15;1503754;Episódico;Episódico;Se manteve
15;1503804;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1503903;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1504000;Episódico/Epidêmico;Episódico;Melhorou
15;1504059;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1504109;Episódico;Episódico/Epidêmico;Piorou
15;1504208;Epidêmico;Epidêmico;Se manteve
15;1504307;Episódico/Epidêmico;Episódico;Melhorou
15;1504406;Episódico;Episódico;Se manteve
15;1504422;Epidêmico;Epidêmico;Se manteve
15;1504455;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1504505;Sem transmissão;Episódico;Piorou
15;1504604;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1504703;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1504752;Episódico;Episódico/Epidêmico;Piorou
15;1504802;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1504901;Episódico;Episódico;Se manteve
15;1504950;Episódico/Epidêmico;Episódico;Melhorou
15;1504976;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1505007;Episódico;Sem transmissão;Melhorou
15;1505031;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1505064;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1505106;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1505205;Episódico;Episódico;Se manteve
15;1505304;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1505403;Episódico;Episódico;Se manteve
15;1505437;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1505486;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1505494;Episódico;Episódico;Se manteve
15;1505502;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1505536;Epidêmico;Epidêmico;Se manteve
15;1505551;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1505601;Episódico;Episódico/Epidêmico;Piorou
15;1505635;Episódico;Episódico;Se manteve
15;1505650;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1505700;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1505809;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1505908;Episódico;Episódico;Se manteve
15;1506005;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1506104;Episódico;Episódico;Se manteve
15;1506112;Episódico;Episódico;Se manteve
15;1506138;Episódico/Epidêmico;Epidêmico;Piorou
15;1506161;Episódico/Epidêmico;Episódico;Melhorou
15;1506187;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1506195;Episódico/Epidêmico;Epidêmico;Piorou
15;1506203;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1506302;Episódico/Epidêmico;Episódico;Melhorou
15;1506351;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1506401;Sem transmissão;Sem transmissão;Se manteve
15;1506500;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1506559;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1506583;Episódico/Epidêmico;Episódico;Melhorou
15;1506609;Episódico/Epidêmico;Episódico;Melhorou
15;1506708;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1506807;Epidêmico;Epidêmico;Se manteve
15;1506906;Episódico/Epidêmico;Episódico;Melhorou
15;1507003;Episódico/Epidêmico;Episódico;Melhorou
15;1507102;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1507151;Episódico/Epidêmico;Episódico;Melhorou
15;1507201;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1507300;Epidêmico;Episódico/Epidêmico;Melhorou
15;1507409;Episódico/Epidêmico;Episódico;Melhorou
15;1507458;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1507466;Episódico;Episódico/Epidêmico;Piorou
15;1507474;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1507508;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1507607;Episódico/Epidêmico;Episódico;Melhorou
15;1507706;Episódico;Sem transmissão;Melhorou
15;1507755;Episódico;Episódico/Epidêmico;Piorou
15;1507805;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1507904;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1507953;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1507961;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1507979;Episódico;Episódico;Se manteve
15;1508001;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1508035;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1508050;Episódico;Episódico/Epidêmico;Piorou
15;1508084;Episódico/Epidêmico;Epidêmico;Piorou
15;1508100;Epidêmico;Episódico/Epidêmico;Melhorou
15;1508126;Episódico/Epidêmico;Episódico;Melhorou
15;1508159;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1508209;Episódico/Epidêmico;Episódico;Melhorou
15;1508308;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
15;1508357;Episódico/Epidêmico;Epidêmico;Piorou
15;1508407;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
16;1600055;Episódico/Epidêmico;Sem transmissão;Melhorou
16;1600105;Episódico;Sem transmissão;Melhorou
16;1600154;Episódico/Epidêmico;Episódico;Melhorou
16;1600204;Episódico/Epidêmico;Episódico;Melhorou
16;1600212;Sem transmissão;Sem transmissão;Se manteve
16;1600238;Episódico/Epidêmico;Sem transmissão;Melhorou
16;1600253;Episódico;Sem transmissão;Melhorou
16;1600279;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
16;1600303;Epidêmico;Epidêmico;Se manteve
16;1600402;Episódico/Epidêmico;Episódico;Melhorou
16;1600501;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
16;1600535;Episódico/Epidêmico;Episódico;Melhorou
16;1600550;Sem transmissão;Sem transmissão;Se manteve
16;1600600;Epidêmico;Episódico/Epidêmico;Melhorou
16;1600709;Episódico/Epidêmico;Episódico;Melhorou
16;1600808;Episódico;Sem transmissão;Melhorou
17;1700251;Episódico/Epidêmico;Episódico;Melhorou
17;1700301;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1700350;Episódico/Epidêmico;Episódico;Melhorou
17;1700400;Episódico;Episódico;Se manteve
17;1700707;Episódico/Epidêmico;Episódico;Melhorou
17;1701002;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1701051;Episódico;Episódico;Se manteve
17;1701101;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1701309;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1701903;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1702000;Epidêmico;Episódico/Epidêmico;Melhorou
17;1702109;Epidêmico;Epidêmico;Se manteve
17;1702158;Episódico/Epidêmico;Episódico;Melhorou
17;1702208;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1702307;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1702406;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1702554;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1702703;Episódico;Episódico;Se manteve
17;1702901;Episódico;Episódico;Se manteve
17;1703008;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1703057;Episódico;Episódico;Se manteve
17;1703073;Episódico;Episódico;Se manteve
17;1703107;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1703206;Episódico/Epidêmico;Episódico;Melhorou
17;1703305;Episódico;Episódico;Se manteve
17;1703602;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1703701;Episódico;Episódico/Epidêmico;Piorou
17;1703800;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1703826;Episódico;Episódico;Se manteve
17;1703842;Episódico;Episódico;Se manteve
17;1703867;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1703883;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1703891;Episódico;Sem transmissão;Melhorou
17;1703909;Episódico;Episódico;Se manteve
17;1704105;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1704600;Episódico;Episódico;Se manteve
17;1705102;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1705508;Epidêmico;Epidêmico;Se manteve
17;1705557;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1705607;Episódico/Epidêmico;Episódico;Melhorou
17;1706001;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1706100;Episódico/Epidêmico;Episódico;Melhorou
17;1706258;Episódico;Episódico;Se manteve
17;1706506;Episódico/Epidêmico;Episódico;Melhorou
17;1707009;Epidêmico;Epidêmico;Se manteve
17;1707108;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1707207;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1707306;Episódico/Epidêmico;Episódico;Melhorou
17;1707405;Episódico/Epidêmico;Episódico;Melhorou
17;1707553;Episódico;Episódico;Se manteve
17;1707652;Episódico/Epidêmico;Episódico;Melhorou
17;1707702;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1708205;Epidêmico;Episódico/Epidêmico;Melhorou
17;1708254;Episódico;Episódico/Epidêmico;Piorou
17;1708304;Episódico/Epidêmico;Episódico;Melhorou
17;1709005;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1709302;Epidêmico;Epidêmico;Se manteve
17;1709500;Epidêmico;Epidêmico;Se manteve
17;1709807;Episódico;Episódico;Se manteve
17;1710508;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1710706;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1710904;Episódico;Episódico;Se manteve
17;1711100;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1711506;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1711803;Episódico;Episódico;Se manteve
17;1711902;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1711951;Episódico;Episódico;Se manteve
17;1712009;Episódico/Epidêmico;Episódico;Melhorou
17;1712157;Episódico/Epidêmico;Episódico;Melhorou
17;1712405;Episódico;Episódico;Se manteve
17;1712454;Episódico;Episódico/Epidêmico;Piorou
17;1712504;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1712702;Episódico;Episódico;Se manteve
17;1712801;Episódico/Epidêmico;Episódico;Melhorou
17;1713205;Epidêmico;Epidêmico;Se manteve
17;1713304;Episódico/Epidêmico;Episódico;Melhorou
17;1713601;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1713700;Episódico;Episódico;Se manteve
17;1713809;Episódico/Epidêmico;Episódico;Melhorou
17;1713957;Episódico/Epidêmico;Episódico;Melhorou
17;1714203;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1714302;Episódico;Episódico;Se manteve
17;1714880;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1715002;Episódico/Epidêmico;Episódico;Melhorou
17;1715101;Episódico/Epidêmico;Sem transmissão;Melhorou
17;1715150;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1715259;Episódico;Episódico/Epidêmico;Piorou
17;1715507;Episódico;Episódico;Se manteve
17;1715705;Episódico;Episódico;Se manteve
17;1715754;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1716109;Epidêmico;Epidêmico;Se manteve
17;1716208;Episódico/Epidêmico;Episódico;Melhorou
17;1716307;Episódico;Episódico;Se manteve
17;1716505;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1716604;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1716653;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1716703;Episódico/Epidêmico;Episódico;Melhorou
17;1717008;Episódico;Episódico;Se manteve
17;1717206;Episódico;Episódico/Epidêmico;Piorou
17;1717503;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1717800;Episódico;Episódico/Epidêmico;Piorou
17;1717909;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1718006;Episódico;Episódico/Epidêmico;Piorou
17;1718204;Epidêmico;Epidêmico;Se manteve
17;1718303;Episódico/Epidêmico;Episódico;Melhorou
17;1718402;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1718451;Episódico;Episódico/Epidêmico;Piorou
17;1718501;Episódico;Episódico;Se manteve
17;1718550;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1718659;Episódico;Episódico;Se manteve
17;1718709;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1718758;Episódico;Episódico/Epidêmico;Piorou
17;1718808;Episódico/Epidêmico;Episódico;Melhorou
17;1718840;Episódico/Epidêmico;Episódico;Melhorou
17;1718865;Episódico/Epidêmico;Episódico;Melhorou
17;1718881;Episódico/Epidêmico;Episódico;Melhorou
17;1718899;Episódico;Episódico/Epidêmico;Piorou
17;1718907;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1719004;Episódico;Episódico/Epidêmico;Piorou
17;1720002;Episódico;Episódico;Se manteve
17;1720101;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1720150;Episódico;Episódico;Se manteve
17;1720200;Episódico/Epidêmico;Episódico;Melhorou
17;1720259;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1720309;Episódico/Epidêmico;Episódico;Melhorou
17;1720499;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1720655;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1720804;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1720853;Episódico;Episódico;Se manteve
17;1720903;Episódico/Epidêmico;Epidêmico;Piorou
17;1720937;Episódico;Episódico/Epidêmico;Piorou
17;1720978;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1721000;Epidêmico;Transmissão Persistente;Piorou
17;1721109;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1721208;Epidêmico;Episódico/Epidêmico;Melhorou
17;1721257;Episódico;Episódico/Epidêmico;Piorou
17;1721307;Episódico;Episódico/Epidêmico;Piorou
17;1722081;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
17;1722107;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
21;2100055;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
21;2100105;Episódico;Episódico;Se manteve
21;2100154;Episódico;Episódico;Se manteve
21;2100204;Episódico;Episódico;Se manteve
21;2100303;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
21;2100402;Episódico;Sem transmissão;Melhorou
21;2100436;Episódico;Sem transmissão;Melhorou
21;2100477;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
21;2100501;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
21;2100550;Episódico;Episódico;Se manteve
21;2100600;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
21;2100709;Episódico;Episódico;Se manteve
21;2100808;Episódico/Epidêmico;Episódico;Melhorou
21;2100832;Episódico;Episódico/Epidêmico;Piorou
21;2100873;Episódico;Episódico;Se manteve
21;2100907;Episódico;Episódico;Se manteve
21;2100956;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
