muni_code;dengue_pattern_2010_2016;dengue_pattern_2017_2022;transition
1502152;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1502202;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1502301;Episódico/Epidêmico;Episódico;Melhorou
1502400;Epidêmico;Epidêmico;Se manteve
1502509;Sem transmissão;Episódico;Piorou
1502608;Episódico;Episódico;Se manteve
1502707;Epidêmico;Epidêmico;Se manteve
1502756;Episódico;Episódico;Se manteve
1502764;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1502772;Episódico/Epidêmico;Episódico;Melhorou
1502806;Sem transmissão;Episódico;Piorou
1502855;Episódico;Episódico;Se manteve
1502905;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1502939;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1502954;Episódico/Epidêmico;Episódico;Melhorou
1503002;Sem transmissão;Episódico;Piorou
1503044;Episódico;Episódico/Epidêmico;Piorou
1503077;Episódico/Epidêmico;Episódico;Melhorou
1503093;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1503101;Episódico;Episódico;Se manteve
1503200;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1503309;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1503408;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1503457;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1503507;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1503606;Epidêmico;Episódico/Epidêmico;Melhorou
1503705;Epidêmico;Episódico/Epidêmico;Melhorou
1503754;Episódico;Episódico;Se manteve
1503804;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1503903;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1504000;Episódico/Epidêmico;Episódico;Melhorou
1504059;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1504109;Episódico;Episódico/Epidêmico;Piorou
1504208;Epidêmico;Epidêmico;Se manteve
1504307;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1504406;Episódico;Episódico;Se manteve
1504422;Epidêmico;Epidêmico;Se manteve
1504455;Epidêmico;Episódico/Epidêmico;Melhorou
1504505;Sem transmissão;Episódico;Piorou
1504604;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1504703;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1504752;Episódico;Episódico/Epidêmico;Piorou
1504802;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1504901;Episódico/Epidêmico;Episódico;Melhorou
1504950;Episódico/Epidêmico;Episódico;Melhorou
1504976;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1505007;Episódico;Episódico;Se manteve
1505031;Epidêmico;Episódico/Epidêmico;Melhorou
1505064;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1505106;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1505205;Episódico;Episódico;Se manteve
1505304;Epidêmico;Episódico/Epidêmico;Melhorou
1505403;Episódico;Episódico;Se manteve
1505437;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1505486;Epidêmico;Episódico/Epidêmico;Melhorou
1505494;Episódico;Episódico;Se manteve
1505502;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1505536;Epidêmico;Epidêmico;Se manteve
1505551;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1505601;Episódico;Episódico/Epidêmico;Piorou
1505635;Episódico;Episódico;Se manteve
1505650;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1505700;Episódico/Epidêmico;Episódico;Melhorou
1505809;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1505908;Episódico;Episódico;Se manteve
